,01G1,01G2,01G3,01G4,01G5,01G6,01P1,01P2,01P3,01P4a,01P5a,01C1,01C1a,01C1b,01C1c,01C1d,02G1,02G2,02G3,02G4,02G5,02G6,02P1,02P2,02P3,02P4a,02P5a,02C1,02C1a,02C1b,02C1c,02C1d,03G1,03G2,03G3,03G4,03G5,03G6,03P1,03P2,03P3,03P4a,03P5a,03C1,03C1a,03C1b,03C1c,03C1d,04G1,04G2,04G3,04G4,04G5,04G6,04P1,04P2,04P3,04P4a,04P5a,04C1,04C1a,04C1b,04C1c,04C1d,05G1,05G2,05G3,05G4,05G5,05G6,05P1,05P2,05P3,05P4a,05P5a,05C1,05C1a,05C1b,05C1c,05C1d,06G1,06G2,06G3,06G4,06G5,06G6,06P1,06P2,06P3,06P4a,06P5a,06C1,06C1a,06C1b,06C1c,06C1d,07G1,07G2,07G3,07G4,07G5,07G6,07P1,07P2,07P3,07P4a,07P5a,07C1,07C1a,07C1b,07C1c,07C1d,08G1,08G2,08G3,08G4,08G5,08G6,08P1,08P2,08P3,08P4a,08P5a,08C1,08C1a,08C1b,08C1c,08C1d,09G1,09G2,09G3,09G4,09G5,09G6,09P1,09P2,09P3,09P4a,09P5a,09C1,09C1a,09C1b,09C1c,09C1d,10G1,10G2,10G3,10G4,10G5,10G6,10P1,10P2,10P3,10P4a,10P5a,10C1,10C1a,10C1b,10C1c,10C1d,11G1,11G2,11G3,11G4,11G5,11G6,11P1,11P2,11P3,11P4a,11P5a,11C1,11C1a,11C1b,11C1c,11C1d,12G1,12G2,12G3,12G4,12G5,12G6,12P1,12P2,12P3,12P4a,12P5a,12C1,12C1a,12C1b,12C1c,12C1d,13G1,13G2,13G3,13G4,13G5,13G6,13P1,13P2,13P3,13P4a,13P5a,13C1,13C1a,13C1b,13C1c,13C1d,14G1,14G2,14G3,14G4,14G5,14G6,14P1,14P2,14P3,14P4a,14P5a,14C1,14C1a,14C1b,14C1c,14C1d
Angola,42328.0,-1.0,0.0,6.0,-87.0,1.2,-620510.0,1.5,0.01,4.0,5.0,0.08,-5.16,0.77,-14.19,18.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27029284.0,-21.0,98.0,6.0,94.0,0.2,26299980.0,938.1,1.43,1.0,3.0,-4.76,-7.63,6.5,-1.36,-2.27
Benin,245029.0,1.0,59.0,40.0,-62.0,0.9,-826527.0,22.5,0.03,2.0,8.0,2.93,10.81,2.34,-6.66,-3.57,43050.0,-4.0,10.0,8.0,-68.0,1.0,-187059.0,4.0,0.01,6.0,4.0,-3.27,-1.83,-2.85,-6.89,8.31,5784.0,-22.0,1.0,0.0,-62.0,0.7,-19221.0,0.5,0.0,2.0,3.0,-12.66,-8.2,3.89,1.97,-10.32,11061.0,-5.0,2.0,1.0,-54.0,0.8,-26626.0,1.0,0.0,1.0,1.0,-4.12,-4.29,0.39,-1.43,1.21,5922.0,4.0,1.0,6.0,-93.0,0.4,-160334.0,0.5,0.0,9.0,4.0,5.77,12.02,4.3,-4.77,-5.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34934.0,-15.0,8.0,6.0,-64.0,1.1,-128232.0,3.2,0.0,8.0,3.0,-7.89,15.62,-8.93,-6.34,-8.24,11361.0,15.0,2.0,3.0,-80.0,0.8,-92588.0,1.0,0.0,14.0,6.0,19.5,35.87,-1.12,-5.25,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5456.0,17.0,1.0,7.0,-94.0,1.4,-197405.0,0.5,0.0,9.0,9.0,17.03,37.58,-2.73,-1.01,-16.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5651.0,20.0,1.0,2.0,-80.0,0.4,-47009.0,0.5,0.0,8.0,4.0,22.91,62.44,3.84,-3.97,-39.4,22227.0,-15.0,5.0,18.0,-91.0,1.0,-461425.0,2.0,0.0,3.0,5.0,0.15,28.97,2.6,23.15,-54.56
Botswana,114647.0,6.0,1.0,3.0,-33.0,1.4,-113481.0,50.9,0.02,2.0,4.0,7.49,20.13,0.23,-2.38,-10.49,14415.0,-23.0,0.0,7.0,-93.0,0.8,-446692.0,6.4,0.0,15.0,3.0,-13.05,-6.03,-4.68,4.35,-6.69,11855.0,-6.0,0.0,2.0,-82.0,1.2,-110137.0,5.3,0.0,5.0,3.0,-4.34,-2.88,-1.57,1.27,-1.15,16300.0,-9.0,0.0,0.0,-54.0,1.0,-38561.0,7.2,0.01,2.0,1.0,-6.22,-1.33,-4.15,1.33,-2.06,85265.0,0.0,1.0,8.0,-72.0,1.9,-443167.0,37.9,0.0,4.0,2.0,2.54,1.73,-1.71,2.29,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30868.0,4.0,0.0,6.0,-84.0,0.6,-338630.0,13.7,0.0,13.0,2.0,8.43,19.69,-1.79,10.43,-19.9,50291.0,-3.0,0.0,7.0,-80.0,0.4,-407074.0,22.3,0.0,23.0,2.0,-1.2,10.31,-3.18,0.36,-8.69,7334.0,-7.0,0.0,2.0,-91.0,3.0,-148693.0,3.3,0.0,13.0,4.0,-4.42,12.28,-2.12,-1.2,-13.37,129670.0,19.0,1.0,3.0,-25.0,0.5,-87248.0,57.6,0.01,1.0,1.0,18.65,3.14,-3.58,17.36,1.73,46778.0,-22.0,0.0,7.0,-80.0,0.7,-391797.0,20.8,0.0,12.0,4.0,-12.8,-0.76,-6.88,-2.49,-2.67,9471.0,-36.0,0.0,1.0,-83.0,1.2,-95958.0,4.2,0.0,3.0,2.0,-16.97,-16.29,-3.54,-0.47,3.33,19928.0,-7.0,0.0,4.0,-86.0,1.5,-249395.0,8.9,0.0,27.0,3.0,-5.18,4.14,-3.79,0.75,-6.29,6733721.0,6.0,91.0,42.0,44.0,0.6,4129144.0,2992.4,0.36,1.0,9.0,31.13,17.79,-0.17,-5.78,19.29
Burkina Faso,720421.0,11.0,28.0,5.0,57.0,0.8,528273.0,38.6,0.1,3.0,6.0,12.75,19.2,-0.04,-0.22,-6.19,29635.0,14.0,1.0,8.0,-81.0,0.8,-254117.0,1.6,0.0,4.0,5.0,15.24,2.3,-0.28,4.3,8.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5002.0,-5.0,0.0,2.0,-87.0,0.7,-67278.0,0.3,0.0,4.0,2.0,-3.76,-6.11,-1.87,3.24,0.99,24999.0,28.0,0.0,17.0,-91.0,0.3,-559526.0,1.3,0.0,2.0,2.0,39.04,29.37,1.59,0.4,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107779.0,122.0,4.0,12.0,-59.0,2.6,-318996.0,5.8,0.01,1.0,1.0,566.5,134.5,1.74,5.32,424.94,28139.0,32.0,1.0,12.0,-87.0,0.8,-388392.0,1.5,0.0,14.0,4.0,48.01,82.23,0.53,1.99,-36.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28104.0,51.0,1.0,7.0,-80.0,0.9,-235444.0,1.5,0.0,7.0,3.0,84.3,98.66,1.26,5.46,-21.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11393.0,19.0,0.0,3.0,-83.0,1.2,-118739.0,0.6,0.0,4.0,8.0,21.48,27.9,1.96,1.45,-9.83,11379.0,47.0,0.0,20.0,-96.0,0.6,-670756.0,0.6,0.0,1.0,10.0,170.61,461.0,12.69,45.65,-348.72
Burundi,61396.0,-8.0,49.0,7.0,11.0,0.5,13136.0,5.8,0.01,2.0,5.0,-4.9,4.46,-10.26,-8.93,9.83,18583.0,32.0,14.0,10.0,-55.0,0.4,-46200.0,1.8,0.0,4.0,2.0,43.45,153.98,-3.32,2.34,-109.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5389.0,-4.0,4.0,18.0,-91.0,1.8,-112676.0,0.5,0.0,2.0,3.0,-1.6,2.41,-1.11,-12.93,10.03,1096.0,-12.0,0.0,1.0,-79.0,0.0,-8687.0,0.1,0.0,2.0,4.0,-9.41,83.3,-8.67,-7.98,-76.06,5431.0,4.0,4.0,11.0,-85.0,3.0,-65306.0,0.5,0.0,2.0,1.0,8.64,14.01,-7.23,-4.61,6.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6701.0,-22.0,5.0,18.0,-89.0,0.9,-109424.0,0.6,0.0,4.0,5.0,-5.9,-8.98,3.01,-21.18,21.25
Cape Verde,23328.0,-17.0,37.0,10.0,-43.0,1.5,-35215.0,43.2,0.0,3.0,1.0,-10.32,-13.99,0.34,5.52,-2.18,28899.0,-2.0,46.0,22.0,-61.0,1.1,-92355.0,53.6,0.0,3.0,2.0,-1.08,0.8,0.18,-3.06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3647.0,-4.0,5.0,0.0,27.0,3.0,1573.0,6.8,0.0,1.0,1.0,-5.1,-7.04,0.69,2.51,-1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6404.0,23.0,10.0,1.0,-2.0,1.0,-362.0,11.9,0.0,3.0,1.0,22.57,22.3,-0.61,0.42,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central African Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28661.0,2.0,32.0,1.0,70.0,0.5,23629.0,6.2,0.01,2.0,5.0,2.05,-2.16,0.62,2.74,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cameroon,1096142.0,4.0,51.0,14.0,20.0,0.9,379396.0,46.8,0.15,2.0,5.0,5.31,9.63,0.83,-0.8,-4.35,68173.0,-4.0,3.0,8.0,-72.0,0.6,-356459.0,2.9,0.01,15.0,8.0,-2.78,-0.5,-2.64,-0.46,0.82,482779.0,2.0,22.0,2.0,63.0,0.9,374434.0,20.6,0.15,4.0,8.0,2.09,-3.19,1.41,-3.07,6.95,4698.0,-8.0,0.0,1.0,-86.0,1.5,-61116.0,0.2,0.0,5.0,4.0,-6.12,-7.36,-0.84,-5.71,7.79,65301.0,-15.0,3.0,13.0,-81.0,0.7,-579873.0,2.8,0.0,3.0,4.0,-8.93,-7.61,-1.73,-6.25,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173383.0,1.0,8.0,12.0,-56.0,2.6,-446879.0,7.4,0.02,2.0,4.0,5.22,11.56,-3.39,7.24,-10.19,17745.0,-23.0,0.0,9.0,-92.0,1.9,-439170.0,0.8,0.0,8.0,14.0,-12.61,-5.86,-5.88,-3.73,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2037.0,-17.0,0.0,4.0,-98.0,0.7,-211895.0,0.1,0.0,14.0,8.0,-11.18,-3.81,-2.48,-1.65,-3.24,5989.0,-18.0,0.0,7.0,-96.0,0.4,-370558.0,0.3,0.0,9.0,7.0,-11.15,7.28,-1.38,-3.34,-13.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19183.0,-4.0,0.0,4.0,-84.0,1.6,-216261.0,0.8,0.0,8.0,9.0,-3.56,6.82,-3.37,2.06,-9.07,194938.0,-46.0,9.0,12.0,-51.0,1.9,-415611.0,8.3,0.01,4.0,7.0,-16.75,-16.78,1.87,-0.43,-1.41
Chad,79734.0,-3.0,5.0,3.0,55.0,1.1,56798.0,5.5,0.01,3.0,6.0,-1.49,5.26,1.05,-7.67,-0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1409224.0,-18.0,93.0,3.0,97.0,0.9,1391236.0,97.5,0.07,1.0,2.0,-2.3,-1.69,1.61,-2.19,-0.03
Comoros,49967.0,48.0,71.0,11.0,5.0,1.5,4980.0,62.8,0.01,2.0,4.0,82.49,50.25,1.07,31.66,-0.5,9680.0,66.0,13.0,13.0,-69.0,6.3,-43084.0,12.2,0.0,1.0,1.0,136.73,77.08,0.04,10.36,49.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Democratic Republic of the Congo,53741.0,0.0,1.0,7.0,-70.0,1.4,-256417.0,0.7,0.01,4.0,11.0,0.84,0.79,0.74,-1.77,1.08,20559.0,4.0,0.0,12.0,-92.0,0.9,-489240.0,0.3,0.0,5.0,6.0,4.61,-4.82,0.59,3.67,5.17,89835.0,-11.0,1.0,1.0,23.0,1.6,34412.0,1.2,0.03,5.0,7.0,-7.69,-10.72,1.61,14.35,-12.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13329.0,-44.0,0.0,17.0,-96.0,1.0,-693884.0,0.2,0.0,4.0,4.0,-17.97,-19.29,-2.62,-14.46,18.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3366303.0,-4.0,73.0,11.0,76.0,0.8,2910105.0,43.6,0.3,2.0,3.0,0.0,0.26,-0.85,2.16,-1.57,6731.0,-18.0,0.0,13.0,-97.0,2.6,-556275.0,0.1,0.0,11.0,2.0,-10.12,12.98,-3.44,-4.01,-15.65,1486.0,-2.0,0.0,4.0,-98.0,1.1,-178146.0,0.0,0.0,2.0,3.0,-0.98,-4.74,-2.16,1.13,4.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13471.0,-14.0,0.0,7.0,-91.0,1.0,-276908.0,0.2,0.0,3.0,3.0,-9.36,-0.09,-3.57,-8.81,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12446.0,15.0,0.0,6.0,-91.0,1.0,-268452.0,0.2,0.0,4.0,2.0,16.29,11.45,0.28,1.52,3.04,890176.0,-23.0,19.0,5.0,60.0,1.7,672492.0,11.5,0.05,4.0,4.0,-6.63,-9.97,0.97,-1.73,4.1
