,01G1,01G2,01G3,01G4,01G5,01G6,01P1,01P2,01P3,01P4a,01P5a,01C1,01C1a,01C1b,01C1c,01C1d,02G1,02G2,02G3,02G4,02G5,02G6,02P1,02P2,02P3,02P4a,02P5a,02C1,02C1a,02C1b,02C1c,02C1d,03G1,03G2,03G3,03G4,03G5,03G6,03P1,03P2,03P3,03P4a,03P5a,03C1,03C1a,03C1b,03C1c,03C1d,04G1,04G2,04G3,04G4,04G5,04G6,04P1,04P2,04P3,04P4a,04P5a,04C1,04C1a,04C1b,04C1c,04C1d,05G1,05G2,05G3,05G4,05G5,05G6,05P1,05P2,05P3,05P4a,05P5a,05C1,05C1a,05C1b,05C1c,05C1d,06G1,06G2,06G3,06G4,06G5,06G6,06P1,06P2,06P3,06P4a,06P5a,06C1,06C1a,06C1b,06C1c,06C1d,07G1,07G2,07G3,07G4,07G5,07G6,07P1,07P2,07P3,07P4a,07P5a,07C1,07C1a,07C1b,07C1c,07C1d,08G1,08G2,08G3,08G4,08G5,08G6,08P1,08P2,08P3,08P4a,08P5a,08C1,08C1a,08C1b,08C1c,08C1d,09G1,09G2,09G3,09G4,09G5,09G6,09P1,09P2,09P3,09P4a,09P5a,09C1,09C1a,09C1b,09C1c,09C1d,10G1,10G2,10G3,10G4,10G5,10G6,10P1,10P2,10P3,10P4a,10P5a,10C1,10C1a,10C1b,10C1c,10C1d,11G1,11G2,11G3,11G4,11G5,11G6,11P1,11P2,11P3,11P4a,11P5a,11C1,11C1a,11C1b,11C1c,11C1d,12G1,12G2,12G3,12G4,12G5,12G6,12P1,12P2,12P3,12P4a,12P5a,12C1,12C1a,12C1b,12C1c,12C1d,13G1,13G2,13G3,13G4,13G5,13G6,13P1,13P2,13P3,13P4a,13P5a,13C1,13C1a,13C1b,13C1c,13C1d,14G1,14G2,14G3,14G4,14G5,14G6,14P1,14P2,14P3,14P4a,14P5a,14C1,14C1a,14C1b,14C1c,14C1d
Congo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10378.0,-9.0,0.0,7.0,-94.0,1.2,-336670.0,2.0,0.0,2.0,2.0,-6.03,-10.92,-3.29,2.2,5.97,327234.0,51.0,6.0,1.0,66.0,1.6,261093.0,63.8,0.1,4.0,3.0,87.45,77.16,3.34,-1.58,8.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8981.0,-2.0,0.0,6.0,-94.0,1.7,-287026.0,1.8,0.0,2.0,2.0,-0.25,-14.9,-2.94,-1.75,19.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,966778.0,109.0,20.0,13.0,21.0,1.0,344913.0,188.6,0.08,1.0,4.0,441.37,490.17,-1.72,1.78,-48.87,20566.0,-27.0,0.0,12.0,-93.0,1.7,-560106.0,4.0,0.0,13.0,10.0,-13.93,-12.59,-3.37,-3.44,5.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1047.0,-37.0,0.0,5.0,-99.0,1.0,-260377.0,0.2,0.0,8.0,8.0,-17.11,-15.42,-2.45,0.13,0.63,7375.0,-72.0,0.0,29.0,-98.0,2.4,-1333787.0,1.4,0.0,7.0,6.0,-19.89,-19.77,-9.07,-7.48,16.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10891.0,-27.0,0.0,5.0,-92.0,1.4,-253678.0,2.1,0.0,4.0,5.0,-14.53,-14.14,-1.18,-5.45,6.24,3309366.0,-13.0,69.0,1.0,97.0,0.9,3261728.0,645.6,0.18,1.0,2.0,2.52,-1.98,2.11,-1.71,4.1
C̫te d'Ivoire,7681311.0,10.0,74.0,15.0,72.0,0.7,6432252.0,324.2,1.05,3.0,12.0,11.86,13.33,1.49,0.84,-3.8,567056.0,-5.0,5.0,11.0,-23.0,0.8,-348911.0,23.9,0.08,7.0,6.0,-3.54,-0.7,-1.4,-1.71,0.27,195233.0,-6.0,1.0,1.0,15.0,1.5,51793.0,8.2,0.06,8.0,13.0,-4.11,-3.94,1.27,0.3,-1.73,16930.0,-31.0,0.0,2.0,-85.0,0.9,-206526.0,0.7,0.01,3.0,4.0,-15.43,-12.83,1.67,-7.44,3.18,87788.0,-29.0,0.0,14.0,-85.0,0.5,-1046959.0,3.7,0.0,8.0,5.0,-14.63,-12.56,0.12,-5.72,3.53,10335.0,-36.0,0.0,0.0,-75.0,1.4,-64184.0,0.4,0.0,4.0,6.0,-17.11,-16.05,0.15,-5.18,3.97,23015.0,-31.0,0.0,10.0,-94.0,0.7,-809297.0,1.0,0.0,5.0,7.0,-14.82,-10.3,-1.23,-3.54,0.24,24718.0,-28.0,0.0,9.0,-93.0,1.7,-739677.0,1.0,0.0,6.0,8.0,-14.39,-14.07,-1.81,-6.07,7.57,2960.0,-23.0,0.0,3.0,-97.0,0.2,-265642.0,0.1,0.0,9.0,8.0,-12.94,-11.82,-1.18,6.86,-6.8,6408.0,4.0,0.0,3.0,-95.0,1.0,-269945.0,0.3,0.0,4.0,4.0,3.01,-4.5,-1.94,1.12,8.32,2673.0,-59.0,0.0,6.0,-98.0,0.3,-478101.0,0.1,0.0,12.0,7.0,-19.47,-19.44,-0.72,-3.04,3.72,2534.0,-5.0,0.0,1.0,-95.0,0.5,-118968.0,0.1,0.0,22.0,3.0,-5.07,-2.36,7.42,30.05,-40.18,46749.0,-25.0,0.0,5.0,-81.0,0.4,-408170.0,2.0,0.0,6.0,4.0,-13.64,-12.26,5.41,5.09,-11.89,1173424.0,-22.0,11.0,13.0,5.0,1.1,129221.0,49.5,0.06,3.0,9.0,-5.29,-5.49,3.24,-2.67,-0.36
Djibouti,39219.0,-8.0,38.0,6.0,-74.0,1.4,-234401.0,41.6,0.01,6.0,5.0,-5.09,-9.04,-0.02,-1.18,5.15,1520.0,-9.0,1.0,15.0,-99.0,7.1,-625812.0,1.6,0.0,3.0,3.0,-6.2,-12.68,-0.65,-5.82,12.95,13357.0,39.0,13.0,2.0,-77.0,0.8,-90872.0,14.2,0.0,1.0,1.0,56.43,-3.54,1.63,13.92,44.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8535.0,54.0,8.0,11.0,-96.0,0.0,-486002.0,9.1,0.0,2.0,2.0,103.35,107.41,0.82,0.49,-5.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Equatorial Guinea,3175.0,4.0,0.0,6.0,-90.0,0.9,-63824.0,2.6,0.0,3.0,2.0,4.87,-6.95,-1.29,-0.81,13.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279119.0,16.0,6.0,1.0,86.0,1.4,258463.0,228.5,0.08,2.0,1.0,17.2,7.57,3.78,3.41,2.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262735.0,-7.0,5.0,6.0,56.0,1.0,189800.0,215.1,0.01,1.0,2.0,-3.88,11.55,0.79,-9.0,-7.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5734.0,-19.0,0.0,12.0,-91.0,0.2,-127555.0,4.7,0.0,5.0,2.0,-10.93,-10.24,-0.77,-4.21,4.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2349.0,-68.0,0.0,21.0,-97.0,0.5,-229251.0,1.9,0.0,6.0,5.0,-19.82,-19.76,11.71,-26.86,15.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4029813.0,-27.0,87.0,0.0,99.0,1.1,4020532.0,3299.1,0.21,2.0,9.0,-9.19,-10.92,2.45,-1.93,1.21
Eritrea,6072.0,0.0,2.0,4.0,-33.0,1.3,-6015.0,1.3,0.0,4.0,2.0,1.15,6.03,-2.95,4.99,-6.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1607.0,-5.0,0.0,1.0,-29.0,0.7,-1348.0,0.3,0.0,1.0,1.0,-5.25,-2.9,-5.8,-0.11,3.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278093.0,123.0,95.0,0.0,98.0,0.0,276082.0,58.1,0.01,2.0,2.0,967.88,462.86,15.1,-6.21,496.13
Ethiopia,2214770.0,-1.0,84.0,6.0,33.0,0.8,1110966.0,21.6,0.3,6.0,15.0,0.1,-1.2,0.54,1.66,-0.9,41895.0,9.0,1.0,7.0,-93.0,1.9,-1162619.0,0.4,0.01,6.0,12.0,9.91,3.63,0.88,3.25,2.15,1282.0,-28.0,0.0,1.0,-99.0,3.3,-265174.0,0.0,0.0,1.0,1.0,-14.76,-6.12,-4.9,-4.97,1.23,24238.0,-2.0,0.0,1.0,-84.0,0.9,-262187.0,0.2,0.01,12.0,6.0,-1.53,0.03,-1.15,-0.51,0.1,4535.0,-6.0,0.0,14.0,-99.0,0.8,-2353077.0,0.0,0.0,6.0,8.0,-3.34,0.05,-0.34,-6.19,3.14,107351.0,2.0,4.0,0.0,-2.0,1.0,-6491.0,1.0,0.05,4.0,5.0,-0.43,24.79,0.12,-8.22,-17.12,15924.0,62.0,0.0,13.0,-98.0,1.5,-2258416.0,0.2,0.0,4.0,4.0,145.64,168.32,0.08,12.0,-34.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56908.0,10.0,2.0,2.0,-73.0,1.2,-308549.0,0.6,0.01,21.0,3.0,7.55,10.15,0.6,-0.04,-3.18,3707.0,6.0,0.0,4.0,-98.0,1.3,-694646.0,0.0,0.0,10.0,10.0,5.59,3.71,-0.18,1.75,0.31,15900.0,-10.0,0.0,8.0,-97.0,1.3,-1438079.0,0.2,0.0,2.0,3.0,5.12,-0.6,10.0,51.0,-55.28
Gabon,20875.0,-23.0,0.0,11.0,-83.0,0.9,-205048.0,10.5,0.0,3.0,8.0,-12.64,7.47,0.93,-8.34,-12.7,7388.0,-26.0,0.0,14.0,-94.0,1.5,-279301.0,3.7,0.0,6.0,5.0,-14.07,19.13,-2.87,-8.05,-22.28,443239.0,0.0,11.0,1.0,88.0,1.2,416085.0,223.9,0.13,4.0,5.0,1.1,-2.61,1.02,3.31,-0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1297.0,-28.0,0.0,10.0,-98.0,0.9,-208025.0,0.7,0.0,23.0,11.0,-14.2,-13.21,-0.94,-1.03,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40961.0,63.0,1.0,10.0,-66.0,1.0,-165722.0,20.7,0.0,4.0,4.0,152.63,197.01,3.9,22.41,-70.7,13399.0,-7.0,0.0,16.0,-91.0,3.6,-304304.0,6.8,0.0,21.0,7.0,-3.86,1.17,-1.73,-0.93,-2.37,1584.0,7.0,0.0,4.0,-96.0,0.0,-79602.0,0.8,0.0,4.0,6.0,8.28,4.93,-0.53,-0.53,4.41,1012.0,-30.0,0.0,5.0,-98.0,0.0,-105855.0,0.5,0.0,21.0,11.0,-15.46,-15.46,0.71,2.14,-2.85,9711.0,-67.0,0.0,7.0,-87.0,4.1,-132756.0,4.9,0.0,10.0,7.0,-19.78,-19.71,-1.35,7.86,-6.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5685.0,-19.0,0.0,8.0,-92.0,1.4,-147569.0,2.9,0.0,3.0,3.0,-11.55,-12.4,0.24,-0.38,0.99,3366850.0,-24.0,85.0,1.0,98.0,1.2,3335138.0,1700.6,0.18,1.0,5.0,-6.84,-7.83,2.57,0.14,-1.72
Gambia,19992.0,23.0,21.0,16.0,-51.0,0.7,-42940.0,9.8,0.0,5.0,3.0,28.83,44.2,3.25,12.9,-31.52,43600.0,15.0,46.0,26.0,-40.0,0.4,-58912.0,21.4,0.01,10.0,2.0,17.02,-1.83,-0.1,0.77,18.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8124.0,-38.0,8.0,2.0,-16.0,0.4,-3295.0,4.0,0.0,1.0,3.0,-17.19,-0.37,2.74,-20.14,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ghana,3021994.0,4.0,28.0,8.0,50.0,1.0,2037344.0,107.1,0.41,2.0,10.0,5.65,2.87,0.67,3.07,-0.96,225930.0,-1.0,2.0,6.0,-52.0,0.8,-498509.0,8.0,0.03,7.0,9.0,-0.38,2.3,-1.47,-4.69,3.49,492154.0,6.0,4.0,3.0,9.0,1.3,88839.0,17.4,0.15,2.0,2.0,6.01,-7.31,-2.07,-1.84,17.22,13266.0,-4.0,0.0,1.0,-85.0,0.4,-160732.0,0.5,0.0,3.0,9.0,-2.84,10.72,2.86,-11.47,-4.94,411819.0,11.0,3.0,12.0,-53.0,0.6,-954992.0,14.6,0.02,4.0,3.0,13.71,-9.14,-0.88,5.5,18.22,1446.0,-34.0,0.0,0.0,-95.0,1.0,-55886.0,0.1,0.0,6.0,5.0,-16.72,-11.42,-5.98,-10.78,11.46,139351.0,-10.0,1.0,15.0,-85.0,1.9,-1656610.0,4.9,0.01,7.0,8.0,-4.42,-1.24,-1.57,-4.54,2.92,75165.0,-15.0,0.0,14.0,-91.0,0.4,-1589691.0,2.7,0.01,3.0,2.0,-8.58,-11.03,-0.2,-5.62,8.27,7862.0,4.0,0.0,2.0,-93.0,0.9,-243960.0,0.3,0.0,1.0,1.0,4.8,5.52,-1.4,4.55,-3.87,2784.0,-34.0,0.0,5.0,-99.0,0.8,-590986.0,0.1,0.0,3.0,2.0,-16.52,-16.32,-1.34,-2.9,4.03,9968.0,-19.0,0.0,15.0,-98.0,0.2,-1761128.0,0.4,0.0,6.0,6.0,-11.73,-7.4,-1.01,11.4,-14.72,1968.0,11.0,0.0,0.0,-94.0,1.0,-74684.0,0.1,0.0,2.0,5.0,8.33,3.08,6.41,10.13,-11.29,280562.0,28.0,2.0,10.0,-61.0,1.2,-905933.0,9.9,0.02,2.0,1.0,35.21,3.61,8.84,-7.33,30.08,1540416.0,-24.0,14.0,2.0,72.0,0.4,1297747.0,54.6,0.08,2.0,3.0,-6.98,-9.25,2.88,-6.02,5.41
Guinea,219664.0,-8.0,10.0,10.0,-23.0,1.4,-133343.0,17.7,0.03,8.0,9.0,-5.26,-3.84,0.29,-17.55,15.84,11851.0,30.0,0.0,9.0,-92.0,0.5,-303574.0,1.0,0.0,3.0,3.0,39.31,27.92,0.11,1.86,9.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4387.0,-46.0,0.0,9.0,-97.0,0.0,-297858.0,0.4,0.0,11.0,6.0,-18.23,-17.89,0.03,-8.47,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55892.0,35.0,2.0,10.0,-71.0,0.1,-276113.0,4.5,0.0,1.0,1.0,45.03,161.02,-1.05,-0.43,-114.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1881.0,-63.0,0.0,6.0,-98.0,0.6,-216935.0,0.2,0.0,19.0,7.0,-19.66,-19.62,1.68,-13.41,11.7,1390399.0,53.0,63.0,12.0,53.0,0.8,970787.0,112.2,0.07,1.0,4.0,201.48,31.67,-5.63,4.23,171.22
Guinea-Bissau,265832.0,12.0,97.0,10.0,76.0,0.8,229709.0,146.4,0.04,2.0,2.0,14.31,-1.31,9.72,9.36,-3.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenya,2705891.0,1.0,56.0,6.0,47.0,2.0,1732300.0,55.8,0.37,5.0,11.0,2.17,0.1,-0.03,-0.56,2.66,379720.0,-14.0,7.0,5.0,-40.0,2.0,-518625.0,7.8,0.05,12.0,11.0,-9.17,-8.87,-1.77,-2.71,4.17,43536.0,-20.0,0.0,3.0,-83.0,1.1,-447440.0,0.9,0.01,12.0,5.0,-12.06,-11.85,1.88,-3.41,1.32,24726.0,-30.0,0.0,5.0,-93.0,0.9,-766921.0,0.5,0.01,12.0,6.0,-15.16,-15.02,1.51,-4.16,2.51,314253.0,-17.0,6.0,14.0,-74.0,1.3,-1870712.0,6.5,0.02,10.0,5.0,-9.85,-9.93,0.44,-2.88,2.52,98867.0,-7.0,2.0,2.0,-53.0,0.8,-227365.0,2.0,0.05,6.0,6.0,-7.01,10.44,0.89,-7.66,-10.69,174120.0,-21.0,3.0,11.0,-81.0,1.6,-1575361.0,3.6,0.02,14.0,3.0,-11.04,-7.85,-0.34,-3.66,0.82,105215.0,2.0,2.0,9.0,-86.0,1.5,-1310772.0,2.2,0.01,2.0,2.0,4.26,-3.13,-2.4,0.6,9.19,14263.0,-36.0,0.0,5.0,-96.0,1.8,-792721.0,0.3,0.0,9.0,9.0,-16.71,-16.03,2.15,-3.23,0.4,40044.0,-8.0,0.0,5.0,-90.0,0.9,-756990.0,0.8,0.0,8.0,5.0,-6.84,-4.26,-0.38,1.89,-4.1,27503.0,-23.0,0.0,8.0,-95.0,4.7,-1286640.0,0.6,0.0,7.0,3.0,-13.37,-9.82,-5.07,-0.32,1.84,377522.0,11.0,7.0,6.0,-45.0,1.0,-639413.0,7.8,0.08,10.0,1.0,8.16,5.6,2.05,-2.07,2.58,150813.0,-16.0,3.0,7.0,-76.0,0.9,-972243.0,3.1,0.01,23.0,7.0,-10.1,-9.85,1.76,-1.63,-0.37,309379.0,-5.0,6.0,8.0,-62.0,1.7,-1009698.0,6.4,0.02,5.0,8.0,12.02,-1.81,19.74,1.47,-7.37
