,01G1,01G2,01G3,01G4,01G5,01G6,01P1,01P2,01P3,01P4a,01P5a,01C1,01C1a,01C1b,01C1c,01C1d,02G1,02G2,02G3,02G4,02G5,02G6,02P1,02P2,02P3,02P4a,02P5a,02C1,02C1a,02C1b,02C1c,02C1d,03G1,03G2,03G3,03G4,03G5,03G6,03P1,03P2,03P3,03P4a,03P5a,03C1,03C1a,03C1b,03C1c,03C1d,04G1,04G2,04G3,04G4,04G5,04G6,04P1,04P2,04P3,04P4a,04P5a,04C1,04C1a,04C1b,04C1c,04C1d,05G1,05G2,05G3,05G4,05G5,05G6,05P1,05P2,05P3,05P4a,05P5a,05C1,05C1a,05C1b,05C1c,05C1d,06G1,06G2,06G3,06G4,06G5,06G6,06P1,06P2,06P3,06P4a,06P5a,06C1,06C1a,06C1b,06C1c,06C1d,07G1,07G2,07G3,07G4,07G5,07G6,07P1,07P2,07P3,07P4a,07P5a,07C1,07C1a,07C1b,07C1c,07C1d,08G1,08G2,08G3,08G4,08G5,08G6,08P1,08P2,08P3,08P4a,08P5a,08C1,08C1a,08C1b,08C1c,08C1d,09G1,09G2,09G3,09G4,09G5,09G6,09P1,09P2,09P3,09P4a,09P5a,09C1,09C1a,09C1b,09C1c,09C1d,10G1,10G2,10G3,10G4,10G5,10G6,10P1,10P2,10P3,10P4a,10P5a,10C1,10C1a,10C1b,10C1c,10C1d,11G1,11G2,11G3,11G4,11G5,11G6,11P1,11P2,11P3,11P4a,11P5a,11C1,11C1a,11C1b,11C1c,11C1d,12G1,12G2,12G3,12G4,12G5,12G6,12P1,12P2,12P3,12P4a,12P5a,12C1,12C1a,12C1b,12C1c,12C1d,13G1,13G2,13G3,13G4,13G5,13G6,13P1,13P2,13P3,13P4a,13P5a,13C1,13C1a,13C1b,13C1c,13C1d,14G1,14G2,14G3,14G4,14G5,14G6,14P1,14P2,14P3,14P4a,14P5a,14C1,14C1a,14C1b,14C1c,14C1d
Lesotho,55747.0,8.0,6.0,9.0,-40.0,0.9,-76537.0,25.3,0.01,6.0,2.0,9.61,14.7,0.41,-10.81,5.32,24416.0,-28.0,2.0,16.0,-79.0,1.5,-193768.0,11.1,0.0,3.0,1.0,-14.78,-4.09,-4.8,-11.02,5.14,4164.0,-27.0,0.0,3.0,-81.0,0.5,-36065.0,1.9,0.0,1.0,1.0,-14.5,-7.19,0.43,-3.63,-4.11,15861.0,-17.0,1.0,10.0,-80.0,0.7,-127049.0,7.2,0.01,4.0,1.0,-10.65,-10.39,-2.8,-5.49,8.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20715.0,-7.0,2.0,2.0,-25.0,1.6,-14140.0,9.4,0.01,4.0,1.0,-6.91,-5.51,-7.66,5.79,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8909.0,-10.0,0.0,2.0,-62.0,1.1,-29137.0,4.0,0.0,1.0,1.0,-6.89,-7.34,-3.7,3.65,0.5,45339.0,-7.0,5.0,4.0,-15.0,2.9,-17009.0,20.6,0.0,2.0,2.0,-6.34,0.83,-2.88,-7.07,2.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,431014.0,3.0,48.0,4.0,76.0,1.3,373623.0,195.6,0.09,9.0,2.0,1.02,0.02,0.04,0.31,0.65,23259.0,15.0,2.0,6.0,-56.0,0.6,-59423.0,10.6,0.0,1.0,1.0,15.73,13.88,-0.38,-0.42,2.64,255319.0,76.0,28.0,12.0,20.0,0.7,86706.0,115.9,0.01,1.0,1.0,370.97,195.53,3.55,80.56,91.34
Liberia,239067.0,-6.0,25.0,1.0,20.0,1.1,79757.0,51.8,0.03,2.0,5.0,-3.77,6.2,1.28,-4.83,-6.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32938.0,-17.0,3.0,0.0,31.0,1.6,15909.0,7.1,0.01,2.0,1.0,-10.43,-13.5,2.52,3.33,-2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1257.0,-17.0,0.0,1.0,-98.0,0.0,-156237.0,0.3,0.0,6.0,5.0,-8.78,-7.16,-0.45,2.25,-3.42,7469.0,3.0,0.0,2.0,-94.0,0.9,-250337.0,1.6,0.0,22.0,5.0,5.51,12.5,-1.02,-5.03,-0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3460.0,30.0,0.0,0.0,-88.0,1.0,-52078.0,0.7,0.0,9.0,5.0,35.4,33.63,0.29,34.26,-32.79,265736.0,-2.0,28.0,65.0,-91.0,0.9,-5954864.0,57.6,0.02,2.0,2.0,-2.34,11.28,2.08,-4.52,-11.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33446.0,85.0,3.0,0.0,-45.0,0.7,-55327.0,7.2,0.0,1.0,1.0,216.86,1.73,0.18,-2.58,217.53,198590.0,-19.0,21.0,3.0,-29.0,0.8,-169419.0,43.0,0.01,3.0,8.0,-3.16,-0.86,4.48,-1.41,-5.38
Madagascar,811057.0,25.0,35.0,6.0,62.0,1.0,624509.0,32.6,0.11,4.0,7.0,31.81,5.22,2.66,9.99,13.93,219543.0,6.0,9.0,11.0,-21.0,0.9,-119868.0,8.8,0.03,5.0,3.0,6.15,2.48,-0.49,3.4,0.76,14279.0,2.0,0.0,2.0,-67.0,1.3,-59371.0,0.6,0.0,3.0,5.0,2.12,18.17,-2.75,0.1,-13.4,49524.0,6.0,2.0,12.0,-75.0,1.6,-308900.0,2.0,0.02,11.0,2.0,6.03,15.78,-8.33,6.36,-7.79,26118.0,38.0,1.0,12.0,-86.0,1.3,-343617.0,1.0,0.0,2.0,8.0,59.37,143.98,-0.46,3.0,-87.16,6810.0,-22.0,0.0,0.0,-55.0,2.6,-16979.0,0.3,0.0,4.0,1.0,-13.54,-12.14,-0.25,8.05,-9.2,487539.0,58.0,21.0,8.0,33.0,0.7,245299.0,19.6,0.04,1.0,7.0,131.67,143.42,-0.39,8.37,-19.73,20726.0,12.0,0.0,7.0,-82.0,0.7,-199635.0,0.8,0.0,13.0,4.0,15.38,18.65,-0.76,10.09,-12.6,3027.0,20.0,0.0,2.0,-91.0,0.4,-63616.0,0.1,0.0,13.0,3.0,24.61,26.37,-0.93,3.1,-3.93,3613.0,8.0,0.0,2.0,-91.0,0.3,-74898.0,0.1,0.0,12.0,4.0,6.53,17.19,-1.58,25.05,-34.12,6063.0,0.0,0.0,6.0,-93.0,0.5,-183935.0,0.2,0.0,13.0,9.0,-0.36,43.78,-0.52,19.86,-63.49,468665.0,11.0,20.0,1.0,87.0,1.7,437876.0,18.8,0.1,18.0,5.0,8.28,12.26,-0.11,-1.35,-2.52,40283.0,4.0,1.0,5.0,-61.0,0.9,-130130.0,1.6,0.0,11.0,3.0,3.89,20.8,0.77,-1.84,-15.85,160749.0,-12.0,7.0,19.0,-55.0,1.6,-404650.0,6.5,0.01,5.0,9.0,3.88,3.47,6.02,-0.43,-5.18
Malawi,737905.0,-5.0,84.0,6.0,81.0,1.1,661389.0,40.8,0.1,2.0,12.0,-2.83,-2.97,0.07,-2.68,2.76,103278.0,12.0,11.0,6.0,14.0,5.1,26407.0,5.7,0.01,3.0,8.0,13.27,26.05,-1.51,-5.77,-5.51,6654.0,-25.0,0.0,3.0,-68.0,0.7,-29557.0,0.4,0.0,4.0,2.0,-13.83,-11.95,0.28,-7.6,5.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3764.0,-16.0,0.0,25.0,-97.0,0.9,-290419.0,0.2,0.0,6.0,4.0,-9.21,-5.9,-0.71,2.69,-5.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2225.0,-10.0,0.0,9.0,-96.0,0.0,-109229.0,0.1,0.0,4.0,3.0,-4.56,-9.95,0.33,-6.15,11.21,3740.0,-19.0,0.0,8.0,-92.0,0.2,-94707.0,0.2,0.0,5.0,4.0,-10.61,-6.07,-4.13,-2.18,1.77,1269.0,4.0,0.0,4.0,-94.0,0.0,-46626.0,0.1,0.0,3.0,6.0,5.15,10.53,-1.95,2.63,-6.06,1171.0,-1.0,0.0,5.0,-96.0,0.0,-61307.0,0.1,0.0,3.0,3.0,-2.3,-10.49,-3.07,-3.37,14.63,1998.0,-35.0,0.0,7.0,-95.0,0.4,-79023.0,0.1,0.0,4.0,3.0,-16.62,-10.02,-10.02,-1.05,4.47,1797.0,-27.0,0.0,4.0,-93.0,1.1,-54945.0,0.1,0.0,2.0,1.0,-14.93,-16.11,1.09,-3.34,3.42,4988.0,-31.0,0.0,9.0,-90.0,0.6,-98427.0,0.3,0.0,6.0,2.0,-15.67,-13.64,-3.27,0.33,0.92,2483.0,-63.0,0.0,2.0,-81.0,0.7,-21360.0,0.1,0.0,4.0,3.0,-19.3,-19.68,4.28,-20.1,16.19
Mali,289929.0,-13.0,26.0,6.0,21.0,0.8,100887.0,16.1,0.04,3.0,5.0,-8.35,-9.93,-0.08,-17.73,19.39,10631.0,-8.0,0.0,9.0,-93.0,0.4,-289140.0,0.6,0.0,5.0,8.0,-5.56,-5.89,-1.48,-3.25,5.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69450.0,-20.0,6.0,14.0,-72.0,0.2,-374061.0,3.9,0.0,1.0,1.0,-11.37,-11.66,-1.42,0.0,1.71,6837.0,-23.0,0.0,0.0,-57.0,1.0,-18496.0,0.4,0.0,3.0,2.0,-13.77,-9.08,3.46,-12.44,4.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12721.0,-29.0,1.0,13.0,-94.0,0.6,-400134.0,0.7,0.0,9.0,4.0,-14.65,-13.07,0.63,-0.9,-1.3,2040.0,12.0,0.0,4.0,-97.0,0.7,-148220.0,0.1,0.0,7.0,4.0,13.79,19.79,-1.21,5.61,-10.41,3522.0,16.0,0.0,3.0,-94.0,0.0,-111644.0,0.2,0.0,5.0,6.0,14.74,7.57,0.54,-2.14,8.77,5662.0,-35.0,0.0,12.0,-97.0,5.6,-400615.0,0.3,0.0,5.0,3.0,-16.56,-16.7,4.72,2.86,-7.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7481.0,0.0,0.0,6.0,-92.0,0.9,-186478.0,0.4,0.0,5.0,4.0,0.03,-3.33,7.29,-10.39,6.45,1176.0,-58.0,0.0,12.0,-99.0,1.5,-377777.0,0.1,0.0,3.0,4.0,-18.86,-19.02,0.71,8.17,-8.73
Mauritania,607716.0,1.0,35.0,8.0,52.0,1.1,416749.0,141.3,0.08,3.0,8.0,2.69,-1.27,-1.73,-1.56,7.26,393289.0,-2.0,22.0,9.0,27.0,0.9,169602.0,91.4,0.05,2.0,6.0,-1.8,0.85,-1.75,-1.02,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,751462.0,-18.0,43.0,19.0,25.0,0.8,304514.0,174.7,0.04,2.0,2.0,-2.23,-0.49,6.2,-0.02,-7.93
Mauritius,231685.0,17.0,10.0,14.0,-47.0,1.8,-424134.0,183.4,0.03,6.0,10.0,21.04,9.74,0.11,7.15,4.04,579875.0,-4.0,26.0,12.0,1.0,1.5,16175.0,459.0,0.08,4.0,9.0,-3.17,1.3,-0.11,-2.85,-1.51,9645.0,-10.0,0.0,2.0,-83.0,1.3,-98423.0,7.6,0.0,11.0,4.0,-7.18,-7.29,1.61,2.01,-3.51,102983.0,0.0,4.0,5.0,-39.0,1.1,-136883.0,81.5,0.04,19.0,3.0,0.78,-2.8,0.33,3.4,-0.14,94787.0,4.0,4.0,9.0,-65.0,1.2,-357505.0,75.0,0.01,6.0,4.0,5.46,9.05,0.43,2.57,-6.6,21433.0,8.0,0.0,1.0,-48.0,2.0,-40168.0,17.0,0.01,9.0,3.0,5.16,15.19,-0.04,-1.22,-8.78,14498.0,-19.0,0.0,6.0,-91.0,1.2,-296297.0,11.5,0.0,17.0,4.0,-9.87,-5.64,0.61,-0.13,-4.71,17419.0,-14.0,0.0,6.0,-88.0,2.7,-269401.0,13.8,0.0,24.0,5.0,-8.48,-9.64,-0.2,1.83,-0.47,119313.0,62.0,5.0,7.0,-48.0,0.9,-221765.0,94.4,0.01,2.0,4.0,127.03,119.53,0.32,1.01,6.18,16241.0,-9.0,0.0,3.0,-81.0,0.9,-147255.0,12.9,0.0,12.0,5.0,-7.34,-1.1,1.64,-7.31,-0.56,19978.0,26.0,0.0,7.0,-89.0,1.4,-349884.0,15.8,0.0,3.0,3.0,30.48,184.44,1.5,3.84,-159.31,665373.0,-5.0,30.0,1.0,77.0,1.7,580627.0,526.6,0.14,9.0,6.0,-5.15,-3.94,0.21,-0.86,-0.56,174067.0,-2.0,7.0,6.0,-29.0,2.0,-148101.0,137.8,0.01,16.0,5.0,-1.43,-2.22,1.4,1.47,-2.08,114798.0,7.0,5.0,15.0,-72.0,1.0,-601088.0,90.9,0.01,2.0,4.0,33.38,4.19,5.24,19.81,4.14
Mozambique,433613.0,1.0,12.0,8.0,-4.0,0.0,-40905.0,15.0,0.06,4.0,19.0,2.92,7.88,1.43,-0.12,-6.26,149603.0,-11.0,4.0,6.0,-42.0,0.0,-217680.0,5.2,0.02,8.0,7.0,-7.21,-0.43,-1.1,-6.21,0.53,31025.0,-27.0,0.0,2.0,-55.0,0.0,-78123.0,1.1,0.01,6.0,1.0,-14.22,-14.69,4.25,4.43,-8.22,1844.0,0.0,0.0,1.0,-95.0,0.0,-88023.0,0.1,0.0,6.0,2.0,0.71,-2.81,-5.5,-0.05,9.07,463169.0,39.0,13.0,14.0,-24.0,0.0,-304559.0,16.1,0.02,1.0,2.0,61.28,2.17,-0.66,44.28,15.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,893692.0,-5.0,26.0,11.0,17.0,0.0,263239.0,31.0,0.08,2.0,2.0,-0.58,10.15,-2.14,-6.28,-2.31,31196.0,-15.0,0.0,13.0,-91.0,0.0,-664457.0,1.1,0.0,27.0,8.0,-8.68,1.36,-4.31,-2.94,-2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98463.0,0.0,2.0,7.0,-61.0,0.0,-314594.0,3.4,0.01,3.0,3.0,-0.68,53.83,-1.88,20.95,-73.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36452.0,-25.0,1.0,4.0,-74.0,0.0,-216626.0,1.3,0.0,3.0,2.0,-13.9,-12.79,-3.83,-10.15,12.88,1240936.0,0.0,36.0,19.0,8.0,0.0,197328.0,43.0,0.07,5.0,4.0,20.38,5.31,4.54,-1.1,11.64
Namibia,780503.0,-6.0,16.0,4.0,47.0,0.8,504500.0,314.8,0.11,9.0,7.0,-3.66,-4.11,-0.28,-1.87,2.6,200728.0,-15.0,4.0,9.0,-51.0,1.0,-432249.0,80.9,0.03,9.0,4.0,-9.65,-2.29,-4.38,-3.58,0.61,45878.0,0.0,0.0,2.0,-56.0,0.7,-117056.0,18.5,0.01,5.0,6.0,0.76,0.45,-2.97,2.53,0.76,4636.0,-27.0,0.0,1.0,-87.0,0.5,-66838.0,1.9,0.0,22.0,2.0,-14.46,-3.63,-9.16,1.41,-3.08,44480.0,-26.0,0.0,10.0,-87.0,1.2,-630138.0,17.9,0.0,4.0,4.0,-13.72,-1.19,-2.0,-12.91,2.39,20938.0,0.0,0.0,1.0,-52.0,0.6,-47133.0,8.4,0.01,3.0,3.0,-2.43,6.3,-4.3,-2.96,-1.47,722418.0,7.0,15.0,11.0,-2.0,0.9,-43412.0,291.3,0.06,5.0,4.0,12.56,27.69,-1.93,0.88,-14.07,67543.0,-21.0,1.0,7.0,-76.0,0.4,-446139.0,27.2,0.0,18.0,2.0,-11.46,-7.96,-4.89,1.78,-0.39,7851.0,-31.0,0.0,2.0,-91.0,0.8,-176601.0,3.2,0.0,21.0,3.0,-15.28,-11.59,-7.77,-2.57,6.64,36767.0,15.0,0.0,3.0,-70.0,0.8,-173038.0,14.8,0.0,2.0,2.0,13.52,6.93,-7.41,5.01,8.99,321668.0,-2.0,6.0,15.0,-52.0,0.2,-718794.0,129.7,0.02,3.0,4.0,-2.65,11.4,-10.03,-2.95,-1.06,1857.0,-32.0,0.0,2.0,-97.0,0.5,-167772.0,0.7,0.0,26.0,3.0,-16.12,-12.29,-6.35,2.55,-0.03,23513.0,-30.0,0.0,6.0,-89.0,0.4,-392751.0,9.5,0.0,17.0,5.0,-15.4,-11.69,-7.5,-1.38,5.17,2255663.0,-1.0,46.0,23.0,16.0,1.5,648496.0,909.6,0.12,3.0,5.0,17.8,-2.09,2.69,13.38,3.82
Niger,160462.0,-1.0,17.0,10.0,-10.0,0.2,-35832.0,7.8,0.02,2.0,2.0,-0.22,8.34,-3.91,11.41,-16.06,185889.0,20.0,20.0,14.0,-18.0,0.7,-86553.0,9.0,0.03,2.0,3.0,23.45,56.28,-0.82,-1.32,-30.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29088.0,-1.0,3.0,1.0,11.0,2.9,5973.0,1.4,0.01,5.0,1.0,-0.65,7.27,2.27,-13.84,3.65,5238.0,9.0,0.0,7.0,-92.0,0.2,-137221.0,0.3,0.0,10.0,5.0,11.34,44.87,-0.33,-2.51,-30.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7177.0,-8.0,0.0,8.0,-90.0,0.4,-144728.0,0.3,0.0,9.0,5.0,-4.4,7.23,0.16,-2.28,-9.51,1209.0,-15.0,0.0,3.0,-96.0,1.4,-72752.0,0.1,0.0,3.0,2.0,-9.31,-8.53,-0.69,1.92,-2.02,1837.0,-1.0,0.0,3.0,-93.0,0.4,-54476.0,0.1,0.0,3.0,2.0,-1.94,13.0,0.76,-8.5,-7.19,36187.0,54.0,3.0,30.0,-87.0,0.2,-525502.0,1.8,0.0,3.0,3.0,91.81,77.73,-0.53,5.56,9.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1738.0,-5.0,0.0,5.0,-96.0,0.2,-92501.0,0.1,0.0,16.0,7.0,-3.6,12.6,2.72,-7.67,-11.25,451760.0,17.0,48.0,4.0,67.0,1.1,364208.0,21.9,0.02,2.0,2.0,55.82,9.39,20.82,-1.89,27.49
Nigeria,573596.0,-56.0,1.0,6.0,-58.0,0.0,-1587052.0,3.1,0.08,4.0,7.0,-19.23,-18.75,-3.55,-10.61,13.68,262736.0,-43.0,0.0,8.0,-83.0,0.0,-2582348.0,1.4,0.04,4.0,9.0,-17.92,-16.3,-0.45,-14.83,13.67,24454.0,-5.0,0.0,1.0,-92.0,0.0,-621329.0,0.1,0.01,7.0,5.0,-3.81,-8.15,-1.1,-5.06,10.49,26152.0,-45.0,0.0,0.0,-85.0,0.0,-304659.0,0.1,0.01,2.0,7.0,-18.18,-17.85,-0.55,-14.93,15.16,142309.0,-21.0,0.0,12.0,-93.0,0.0,-4291479.0,0.8,0.01,4.0,7.0,-11.7,-12.11,-0.66,-5.51,6.58,50742.0,-55.0,0.0,0.0,-32.0,0.0,-47909.0,0.3,0.02,3.0,3.0,-19.29,-15.55,-1.54,-13.29,11.08,118214.0,-35.0,0.0,6.0,-89.0,0.0,-2070568.0,0.6,0.01,8.0,9.0,-15.88,-15.88,-0.06,-4.14,4.2,14055.0,-39.0,0.0,17.0,-99.0,0.0,-6146246.0,0.1,0.0,1.0,1.0,-17.06,-17.31,1.48,2.4,-3.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21331.0,-34.0,0.0,3.0,-96.0,0.0,-1074198.0,0.1,0.0,3.0,6.0,-16.23,-17.47,-3.98,-9.35,14.56,31719193.0,-28.0,96.0,28.0,52.0,0.0,21709421.0,170.5,1.68,1.0,12.0,-9.48,-8.51,1.41,-1.83,-0.55
Rwanda,179585.0,-2.0,28.0,7.0,12.0,1.0,39157.0,15.1,0.02,5.0,4.0,-0.46,3.94,-3.43,-4.42,3.45,76291.0,12.0,12.0,11.0,-46.0,1.3,-132642.0,6.4,0.01,9.0,1.0,13.19,30.71,-6.2,2.81,-14.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8839.0,25.0,1.0,14.0,-93.0,1.2,-248852.0,0.7,0.0,6.0,2.0,33.67,35.86,-0.18,2.65,-4.67,7859.0,-3.0,1.0,1.0,-48.0,1.4,-14681.0,0.7,0.0,6.0,3.0,-4.61,-2.5,1.52,-16.74,13.1,16453.0,0.0,2.0,13.0,-87.0,1.5,-228511.0,1.4,0.0,7.0,3.0,4.81,12.07,-7.14,-4.78,4.66,16569.0,55.0,2.0,9.0,-82.0,1.8,-151625.0,1.4,0.0,28.0,4.0,108.39,87.12,-0.03,3.71,17.6,6238.0,50.0,1.0,8.0,-92.0,1.3,-144628.0,0.5,0.0,6.0,7.0,86.79,102.59,1.47,8.99,-26.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11195.0,-23.0,1.0,7.0,-85.0,1.0,-127067.0,0.9,0.0,6.0,5.0,-13.13,-11.61,-5.69,-5.54,9.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7542.0,9.0,1.0,8.0,-90.0,1.1,-146581.0,0.6,0.0,15.0,4.0,8.66,31.28,-2.88,-3.69,-16.05,197808.0,0.0,31.0,2.0,60.0,1.5,149651.0,16.6,0.01,4.0,5.0,21.17,9.78,12.75,-15.45,14.1
