,01G1,01G2,01G3,01G4,01G5,01G6,01P1,01P2,01P3,01P4a,01P5a,01C1,01C1a,01C1b,01C1c,01C1d,02G1,02G2,02G3,02G4,02G5,02G6,02P1,02P2,02P3,02P4a,02P5a,02C1,02C1a,02C1b,02C1c,02C1d,03G1,03G2,03G3,03G4,03G5,03G6,03P1,03P2,03P3,03P4a,03P5a,03C1,03C1a,03C1b,03C1c,03C1d,04G1,04G2,04G3,04G4,04G5,04G6,04P1,04P2,04P3,04P4a,04P5a,04C1,04C1a,04C1b,04C1c,04C1d,05G1,05G2,05G3,05G4,05G5,05G6,05P1,05P2,05P3,05P4a,05P5a,05C1,05C1a,05C1b,05C1c,05C1d,06G1,06G2,06G3,06G4,06G5,06G6,06P1,06P2,06P3,06P4a,06P5a,06C1,06C1a,06C1b,06C1c,06C1d,07G1,07G2,07G3,07G4,07G5,07G6,07P1,07P2,07P3,07P4a,07P5a,07C1,07C1a,07C1b,07C1c,07C1d,08G1,08G2,08G3,08G4,08G5,08G6,08P1,08P2,08P3,08P4a,08P5a,08C1,08C1a,08C1b,08C1c,08C1d,09G1,09G2,09G3,09G4,09G5,09G6,09P1,09P2,09P3,09P4a,09P5a,09C1,09C1a,09C1b,09C1c,09C1d,10G1,10G2,10G3,10G4,10G5,10G6,10P1,10P2,10P3,10P4a,10P5a,10C1,10C1a,10C1b,10C1c,10C1d,11G1,11G2,11G3,11G4,11G5,11G6,11P1,11P2,11P3,11P4a,11P5a,11C1,11C1a,11C1b,11C1c,11C1d,12G1,12G2,12G3,12G4,12G5,12G6,12P1,12P2,12P3,12P4a,12P5a,12C1,12C1a,12C1b,12C1c,12C1d,13G1,13G2,13G3,13G4,13G5,13G6,13P1,13P2,13P3,13P4a,13P5a,13C1,13C1a,13C1b,13C1c,13C1d,14G1,14G2,14G3,14G4,14G5,14G6,14P1,14P2,14P3,14P4a,14P5a,14C1,14C1a,14C1b,14C1c,14C1d
Sao Tome and Principe,9063.0,15.0,86.0,8.0,-14.0,0.9,-3112.0,45.3,0.0,1.0,1.0,18.17,-16.5,0.66,5.48,28.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Senegal,574496.0,8.0,21.0,12.0,-8.0,0.8,-100564.0,37.3,0.08,16.0,15.0,8.99,4.24,1.13,5.67,-2.05,389781.0,0.0,14.0,11.0,-24.0,1.0,-256391.0,25.3,0.05,8.0,16.0,0.54,4.77,-1.04,0.17,-3.36,23022.0,0.0,0.0,2.0,-71.0,2.2,-114561.0,1.5,0.01,5.0,9.0,0.7,2.93,2.42,-2.1,-2.54,6732.0,-5.0,0.0,1.0,-83.0,0.9,-67446.0,0.4,0.0,6.0,4.0,-4.14,9.28,2.0,-3.01,-12.4,364600.0,-2.0,13.0,11.0,-27.0,0.8,-275104.0,23.7,0.02,3.0,3.0,-0.35,-0.27,1.33,-1.35,-0.06,11087.0,8.0,0.0,0.0,-17.0,0.6,-4721.0,0.7,0.01,3.0,4.0,5.28,34.4,4.22,-10.23,-23.11,295410.0,-6.0,11.0,8.0,-21.0,0.9,-162520.0,19.2,0.03,2.0,3.0,-1.4,-2.9,2.52,-1.92,0.91,32492.0,-10.0,1.0,11.0,-90.0,0.5,-609995.0,2.1,0.0,20.0,16.0,-5.81,4.4,-4.4,-1.57,-4.24,13592.0,13.0,0.0,3.0,-86.0,0.2,-179040.0,0.9,0.0,3.0,4.0,15.1,21.64,-1.46,0.73,-5.81,19977.0,-4.0,0.0,2.0,-77.0,0.2,-133972.0,1.3,0.0,2.0,9.0,-4.33,-0.45,-3.26,-0.69,0.07,23030.0,-22.0,0.0,8.0,-90.0,1.6,-436710.0,1.5,0.0,12.0,15.0,-12.9,-11.81,-1.64,-2.22,2.76,1418.0,-5.0,0.0,0.0,-91.0,1.0,-29172.0,0.1,0.0,12.0,12.0,-5.25,-2.78,16.07,-0.74,-17.82,87598.0,17.0,3.0,3.0,-41.0,0.6,-123452.0,5.7,0.01,4.0,7.0,19.0,13.38,4.7,2.32,-1.4,446464.0,0.0,16.0,20.0,-43.0,0.8,-693340.0,29.0,0.02,3.0,9.0,20.14,12.02,5.12,2.43,0.57
Seychelles,221887.0,157.0,39.0,16.0,28.0,0.8,98874.0,2343.6,0.03,3.0,5.0,919.92,947.54,1.84,7.75,-37.21,281268.0,-9.0,49.0,10.0,56.0,1.2,203561.0,2970.8,0.04,1.0,4.0,-6.16,-3.49,-0.42,-3.05,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2914.0,-27.0,0.0,12.0,-93.0,0.0,-90509.0,30.8,0.0,4.0,4.0,-14.64,-14.36,1.24,2.17,-3.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21505.0,47.0,3.0,13.0,-64.0,1.0,-77894.0,227.1,0.0,5.0,5.0,75.87,69.05,1.28,2.52,3.02,14324.0,-47.0,2.0,7.0,-60.0,0.5,-43629.0,151.3,0.0,2.0,2.0,-16.87,-17.46,8.23,-27.83,20.21
Sierra Leone,171550.0,21.0,36.0,14.0,10.0,1.2,32356.0,23.2,0.02,3.0,2.0,26.86,-1.65,0.24,4.14,24.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4744.0,-31.0,1.0,9.0,-90.0,0.6,-86761.0,0.6,0.0,7.0,3.0,-15.18,-12.5,-1.18,-4.17,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6839.0,-42.0,1.0,9.0,-86.0,0.9,-86551.0,0.9,0.0,3.0,5.0,-17.81,-17.96,2.22,-5.81,3.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1528.0,-36.0,0.0,6.0,-94.0,1.4,-56572.0,0.2,0.0,4.0,3.0,-16.73,-17.82,0.9,-0.98,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Somalia,535640.0,7.0,94.0,22.0,9.0,0.8,96574.0,37.4,0.07,4.0,2.0,7.85,-0.05,2.69,2.84,2.37,14594.0,52.0,2.0,32.0,-95.0,0.0,-637633.0,1.0,0.0,3.0,3.0,91.33,57.97,1.76,-6.07,37.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1621.0,-11.0,0.0,6.0,-97.0,0.6,-117836.0,0.1,0.0,1.0,1.0,-6.57,-4.59,-1.21,-1.92,1.15,2244.0,-24.0,0.0,5.0,-96.0,0.5,-110522.0,0.2,0.0,2.0,3.0,-14.12,-7.2,1.65,-11.64,3.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Africa,5143152.0,1.0,6.0,4.0,19.0,1.5,1669567.0,92.0,0.7,24.0,22.0,2.26,2.9,-0.58,3.34,-3.39,4175097.0,-3.0,5.0,4.0,6.0,1.3,542093.0,74.7,0.56,41.0,20.0,-1.97,1.61,-2.26,0.0,-1.33,1967908.0,0.0,2.0,1.0,15.0,1.2,524455.0,35.2,0.6,6.0,15.0,0.34,1.82,-0.79,1.05,-1.74,409870.0,-3.0,0.0,1.0,-51.0,0.8,-866558.0,7.3,0.14,22.0,14.0,-2.1,4.02,-3.88,3.17,-5.41,5881890.0,-7.0,7.0,12.0,-24.0,1.2,-3721222.0,105.2,0.31,62.0,25.0,-3.93,-1.01,-0.83,-1.58,-0.51,396117.0,0.0,0.0,1.0,-47.0,1.0,-725993.0,7.1,0.19,19.0,15.0,-1.86,2.37,-1.49,-0.49,-2.26,15306987.0,-5.0,20.0,6.0,52.0,1.4,10555494.0,273.8,1.34,11.0,14.0,-1.07,1.62,-0.67,-1.66,-0.36,4980856.0,-8.0,6.0,12.0,-29.0,1.2,-4151558.0,89.1,0.35,10.0,17.0,-4.42,-2.08,-1.96,2.4,-2.77,908023.0,-5.0,1.0,7.0,-73.0,1.2,-4984624.0,16.2,0.08,17.0,19.0,-3.55,1.86,-2.54,1.1,-3.96,1167306.0,-6.0,1.0,4.0,-49.0,1.0,-2247995.0,20.9,0.09,40.0,16.0,-5.23,-0.72,-2.79,-0.38,-1.34,9834726.0,1.0,13.0,9.0,16.0,1.0,2747057.0,175.9,0.59,7.0,10.0,0.45,1.89,-1.86,2.95,-2.53,492214.0,0.0,0.0,2.0,-57.0,1.0,-1350524.0,8.8,0.11,26.0,6.0,-2.32,1.6,0.32,7.71,-11.95,2137385.0,-3.0,2.0,6.0,-36.0,1.0,-2448065.0,38.2,0.16,56.0,19.0,-2.77,1.65,-1.78,2.32,-4.96,17454299.0,-11.0,23.0,15.0,20.0,1.6,6048765.0,312.2,0.93,10.0,11.0,4.84,1.3,7.98,-2.7,-1.74
Swaziland,26541.0,2.0,1.0,7.0,-61.0,1.1,-84469.0,19.8,0.0,8.0,6.0,3.74,6.73,0.69,-1.14,-2.54,920637.0,0.0,57.0,14.0,63.0,2.1,715982.0,685.5,0.12,3.0,2.0,0.63,0.17,-3.35,1.9,1.91,87285.0,3.0,5.0,3.0,30.0,0.9,41010.0,65.0,0.03,4.0,1.0,3.53,3.95,-1.61,-0.87,2.05,31509.0,2.0,1.0,3.0,-22.0,0.8,-18769.0,23.5,0.01,3.0,1.0,2.05,1.37,-3.92,0.26,4.35,233915.0,-8.0,14.0,14.0,4.0,3.3,21693.0,174.2,0.01,2.0,2.0,-4.45,-0.97,-1.52,-3.92,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22475.0,25.0,1.0,8.0,-68.0,1.0,-99754.0,16.7,0.0,4.0,3.0,39.42,42.23,-0.21,-5.35,2.75,34750.0,24.0,2.0,5.0,-36.0,1.4,-39792.0,25.9,0.0,24.0,9.0,32.78,39.26,-3.87,-0.67,-1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18035.0,42.0,1.0,3.0,-48.0,1.8,-34136.0,13.4,0.0,13.0,7.0,57.57,54.88,-3.45,4.95,1.18,4222.0,-2.0,0.0,7.0,-92.0,1.2,-105109.0,3.1,0.0,11.0,6.0,-2.62,3.42,-7.22,1.42,-0.24,154428.0,7.0,9.0,2.0,60.0,0.9,116052.0,115.0,0.03,10.0,1.0,4.76,11.76,-3.91,-0.34,-2.75,34576.0,-12.0,2.0,8.0,-54.0,1.6,-84034.0,25.7,0.0,6.0,3.0,-8.14,-4.26,-3.85,-3.9,3.87,25604.0,-32.0,1.0,13.0,-76.0,1.6,-162383.0,19.1,0.0,5.0,2.0,-11.94,-14.96,26.68,-40.24,16.59
Sudan,1131929.0,-6.0,35.0,9.0,24.0,1.0,443612.0,21.8,0.16,5.0,4.0,-3.54,-3.22,-2.54,-3.65,5.87,111014.0,-5.0,3.0,15.0,-80.0,0.6,-930502.0,2.1,0.02,3.0,8.0,-3.7,4.39,2.05,-7.81,-2.33,14936.0,-10.0,0.0,2.0,-81.0,1.6,-133928.0,0.3,0.0,2.0,1.0,-7.09,0.79,1.23,8.66,-17.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14968.0,-39.0,0.0,16.0,-97.0,0.8,-1122951.0,0.3,0.0,2.0,2.0,-17.02,-16.44,0.5,-13.82,12.74,4579.0,-46.0,0.0,2.0,-95.0,0.8,-188120.0,0.1,0.0,2.0,3.0,-18.49,-16.35,0.57,-14.51,11.8,11346.0,-4.0,0.0,9.0,-96.0,0.8,-678157.0,0.2,0.0,2.0,3.0,0.08,-1.44,4.96,-7.08,3.64,2275.0,-33.0,0.0,12.0,-99.0,0.2,-858436.0,0.0,0.0,4.0,4.0,-15.76,-16.91,-1.35,10.38,-7.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4138.0,-46.0,0.0,6.0,-98.0,0.3,-461831.0,0.1,0.0,3.0,3.0,-18.45,-19.06,8.91,-15.76,7.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6227.0,0.0,0.0,7.0,-97.0,0.6,-499942.0,0.1,0.0,2.0,2.0,-0.28,-1.2,-1.2,-7.57,9.7,1901229.0,-11.0,59.0,0.0,97.0,0.6,1875894.0,36.7,0.1,1.0,1.0,4.33,-3.93,8.68,0.8,-1.23
United Republic of Tanzania,1568661.0,2.0,35.0,3.0,69.0,2.7,1285297.0,28.2,0.21,9.0,9.0,3.43,-0.34,2.3,-0.62,2.09,254611.0,-3.0,5.0,8.0,-44.0,1.2,-403434.0,4.6,0.03,20.0,9.0,-2.09,-4.87,-1.69,4.04,0.43,59234.0,0.0,1.0,2.0,-44.0,1.4,-95720.0,1.1,0.02,7.0,4.0,0.86,-5.11,3.47,2.27,0.23,89948.0,-4.0,2.0,2.0,-29.0,0.8,-74312.0,1.6,0.03,8.0,7.0,-2.84,-0.38,-1.19,-6.59,5.32,99058.0,-11.0,2.0,18.0,-86.0,0.5,-1313424.0,1.8,0.01,14.0,7.0,-6.59,-8.83,-0.82,-5.12,8.19,4079.0,-28.0,0.0,0.0,-85.0,0.5,-49432.0,0.1,0.0,4.0,7.0,-15.25,-7.87,2.41,-11.51,1.72,128036.0,-10.0,2.0,10.0,-71.0,1.0,-652011.0,2.3,0.01,11.0,5.0,-4.48,-4.0,-3.09,-6.57,9.19,14003.0,-46.0,0.0,11.0,-96.0,0.4,-877431.0,0.3,0.0,16.0,7.0,-18.14,-17.83,-2.12,-5.16,6.98,7336.0,-1.0,0.0,3.0,-95.0,0.2,-292808.0,0.1,0.0,3.0,3.0,-0.46,0.36,-0.97,2.11,-1.96,6311.0,-28.0,0.0,4.0,-96.0,0.9,-369356.0,0.1,0.0,3.0,2.0,-15.14,-14.73,1.22,-0.78,-0.85,7779.0,-42.0,0.0,13.0,-98.0,0.2,-1049225.0,0.1,0.0,7.0,6.0,-17.91,-17.66,-2.85,-5.23,7.83,47583.0,40.0,1.0,1.0,-27.0,0.2,-35358.0,0.9,0.01,5.0,4.0,52.55,22.88,7.31,-5.05,27.42,124003.0,5.0,2.0,4.0,-43.0,0.9,-193997.0,2.2,0.01,7.0,2.0,5.28,-9.13,-0.31,-6.17,20.9,465248.0,-17.0,10.0,14.0,-41.0,0.4,-670613.0,8.4,0.02,2.0,5.0,-1.54,-10.12,5.13,18.45,-14.99
Togo,81604.0,-8.0,11.0,5.0,-4.0,0.4,-8080.0,10.7,0.01,2.0,11.0,-5.18,-3.33,2.67,-4.07,-0.45,111064.0,6.0,15.0,8.0,-13.0,3.0,-33324.0,14.6,0.02,10.0,5.0,6.39,-0.94,0.03,3.05,4.25,1685.0,-15.0,0.0,1.0,-84.0,0.3,-18975.0,0.2,0.0,6.0,4.0,-9.67,-9.48,4.39,117.41,-121.99,19522.0,-3.0,2.0,5.0,-66.0,0.3,-78203.0,2.6,0.01,4.0,6.0,-2.75,3.35,5.66,-6.3,-5.47,91679.0,2.0,12.0,18.0,-55.0,0.6,-226610.0,12.1,0.0,4.0,6.0,3.59,9.45,-1.04,-6.27,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77147.0,-21.0,10.0,10.0,-40.0,1.4,-102910.0,10.1,0.01,3.0,3.0,-11.07,-9.34,-2.44,-2.81,3.52,32207.0,8.0,4.0,11.0,-71.0,0.4,-161455.0,4.2,0.0,14.0,7.0,10.71,18.22,0.49,-1.08,-6.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52047.0,-9.0,7.0,10.0,-55.0,0.3,-127725.0,6.8,0.0,4.0,6.0,-7.12,-10.11,-9.12,-5.3,17.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118311.0,4.0,16.0,3.0,27.0,0.4,50380.0,15.6,0.01,4.0,5.0,4.18,-0.01,5.12,4.25,-5.19,95139.0,-16.0,13.0,14.0,-43.0,1.1,-145476.0,12.5,0.01,1.0,3.0,-0.79,-7.62,1.97,-9.76,14.63
Uganda,1002562.0,4.0,40.0,4.0,62.0,0.8,773795.0,24.2,0.14,6.0,12.0,4.85,3.75,-0.4,-1.13,2.63,374320.0,0.0,15.0,9.0,-12.0,0.8,-102058.0,9.0,0.05,16.0,5.0,0.69,9.08,-1.17,3.86,-11.08,42350.0,12.0,1.0,2.0,-53.0,2.0,-98275.0,1.0,0.01,11.0,3.0,12.69,1.42,0.88,-2.38,12.77,13591.0,-8.0,0.0,3.0,-83.0,2.3,-137042.0,0.3,0.0,16.0,4.0,-5.9,1.53,-1.64,-7.89,2.09,113229.0,5.0,4.0,19.0,-78.0,0.8,-818223.0,2.7,0.01,11.0,7.0,6.53,11.98,-0.69,-1.69,-3.08,55230.0,4.0,2.0,1.0,-11.0,0.9,-14411.0,1.3,0.03,3.0,4.0,1.04,15.26,1.65,-10.34,-5.54,168957.0,-11.0,6.0,9.0,-47.0,1.7,-309274.0,4.1,0.01,6.0,5.0,-5.11,5.72,-3.6,-1.77,-5.46,47525.0,-7.0,1.0,7.0,-77.0,1.1,-335413.0,1.1,0.0,34.0,8.0,-3.88,4.89,-1.09,-3.06,-4.62,24595.0,-36.0,0.0,3.0,-74.0,0.3,-147186.0,0.6,0.0,3.0,2.0,-16.69,-16.73,-3.53,1.2,2.38,10106.0,0.0,0.0,3.0,-88.0,1.3,-154697.0,0.2,0.0,12.0,6.0,-1.3,-2.15,0.2,0.24,0.42,88339.0,0.0,3.0,9.0,-67.0,1.9,-364870.0,2.1,0.01,5.0,11.0,-0.08,56.63,-4.31,0.68,-53.07,5399.0,19.0,0.0,1.0,-85.0,3.2,-61777.0,0.1,0.0,10.0,6.0,16.87,16.7,6.86,38.05,-44.74,46357.0,-4.0,1.0,5.0,-69.0,0.4,-215659.0,1.1,0.0,19.0,8.0,-3.05,5.68,0.4,-8.92,-0.21,149339.0,-2.0,6.0,17.0,-70.0,1.6,-701547.0,3.6,0.01,2.0,2.0,15.82,92.79,2.47,1.23,-80.66
Zambia,398905.0,-15.0,7.0,4.0,41.0,1.0,232698.0,24.0,0.05,4.0,8.0,-9.16,-3.56,-1.97,2.65,-6.29,139537.0,-24.0,2.0,6.0,-32.0,0.8,-133468.0,8.4,0.02,6.0,6.0,-13.42,-13.09,-4.44,-7.95,12.06,95219.0,-2.0,1.0,2.0,-7.0,1.1,-16086.0,5.7,0.03,1.0,1.0,-1.58,-10.38,-11.42,-5.79,26.01,2394.0,-8.0,0.0,1.0,-93.0,1.2,-65711.0,0.1,0.0,4.0,2.0,-5.52,-1.53,-6.72,5.26,-2.53,24181.0,-44.0,0.0,18.0,-93.0,1.3,-728789.0,1.5,0.0,4.0,3.0,-17.93,-18.07,-2.15,-13.65,15.94,9590.0,21.0,0.0,0.0,-36.0,0.7,-11169.0,0.6,0.0,2.0,3.0,18.62,27.96,-4.11,-3.84,-1.39,4334400.0,-10.0,81.0,12.0,79.0,1.1,3837742.0,261.2,0.38,2.0,4.0,-4.92,-9.6,-3.43,-12.44,20.55,33572.0,-27.0,0.0,17.0,-90.0,1.2,-673497.0,2.0,0.0,18.0,3.0,-14.07,-9.22,-4.36,-2.66,2.17,2423.0,-30.0,0.0,5.0,-97.0,1.1,-213264.0,0.1,0.0,11.0,4.0,-15.26,-10.27,-2.37,-0.19,-2.43,11097.0,-32.0,0.0,6.0,-91.0,0.7,-241623.0,0.7,0.0,1.0,2.0,-16.04,-14.15,-3.52,-3.61,5.24,11486.0,-36.0,0.0,7.0,-92.0,0.4,-293453.0,0.7,0.0,10.0,3.0,-16.74,-10.17,-6.0,5.18,-5.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6473.0,-50.0,0.0,5.0,-94.0,0.7,-217149.0,0.4,0.0,5.0,3.0,-18.78,-18.84,-6.34,-9.77,16.17,231404.0,-10.0,4.0,8.0,-19.0,0.2,-111972.0,13.9,0.01,4.0,9.0,5.89,-7.02,15.06,-12.46,10.31
Zimbabwe,995859.0,-1.0,35.0,11.0,23.0,0.9,374312.0,61.7,0.14,1.0,1.0,-0.37,-1.82,0.7,-1.55,2.31,117513.0,-12.0,4.0,9.0,-60.0,1.4,-360284.0,7.3,0.02,4.0,2.0,-7.79,-2.83,-0.3,-5.29,0.63,33256.0,-4.0,1.0,2.0,-53.0,1.3,-76056.0,2.1,0.01,5.0,3.0,-3.2,-6.38,-1.03,2.53,1.68,11277.0,-15.0,0.0,1.0,-69.0,1.0,-50246.0,0.7,0.0,7.0,2.0,-9.74,-7.35,-2.79,0.4,0.0,14567.0,-16.0,0.0,15.0,-96.0,1.2,-778885.0,0.9,0.0,18.0,3.0,-9.44,-8.71,-1.84,4.12,-3.01,5396.0,-1.0,0.0,0.0,-47.0,2.3,-9783.0,0.3,0.0,5.0,2.0,-3.19,8.98,-5.34,2.15,-8.98,188000.0,-13.0,6.0,6.0,-27.0,1.6,-143043.0,11.6,0.02,2.0,2.0,-6.26,-8.06,-1.02,6.78,-3.95,17304.0,0.0,0.0,8.0,-92.0,0.8,-430460.0,1.1,0.0,19.0,3.0,1.41,19.6,-4.95,5.25,-18.48,2288.0,19.0,0.0,3.0,-97.0,0.0,-182172.0,0.1,0.0,4.0,2.0,22.11,25.58,-2.41,5.49,-6.56,9687.0,-3.0,0.0,2.0,-84.0,0.6,-105922.0,0.6,0.0,7.0,2.0,-3.66,1.24,-2.22,-2.06,-0.62,11679.0,-17.0,0.0,6.0,-93.0,0.4,-319918.0,0.7,0.0,4.0,2.0,-10.94,48.08,-7.78,-5.65,-45.59,8501.0,11.0,0.0,0.0,-58.0,0.9,-23650.0,0.5,0.0,10.0,2.0,8.78,15.89,3.08,-3.47,-6.71,27203.0,-5.0,0.0,3.0,-73.0,0.9,-152039.0,1.7,0.0,6.0,3.0,-4.17,1.15,-4.31,2.64,-3.65,536504.0,-22.0,18.0,29.0,-47.0,6.0,-978492.0,33.2,0.03,3.0,2.0,-5.38,6.13,3.18,-8.29,-6.39
