,01G1,01G2,01G3,01G4,01G5,01G6,01P2,01P4a,01P5a,01C1a,01C1b,01C1c,01C1d,02G1,02G2,02G3,02G4,02G5,02G6,02P2,02P4a,02P5a,02C1a,02C1b,02C1c,02C1d,03G1,03G2,03G3,03G4,03G5,03G6,03P2,03P4a,03P5a,03C1a,03C1b,03C1c,03C1d,04G1,04G2,04G3,04G4,04G5,04G6,04P2,04P4a,04P5a,04C1a,04C1b,04C1c,04C1d,05G1,05G2,05G3,05G4,05G5,05G6,05P2,05P4a,05P5a,05C1a,05C1b,05C1c,05C1d,06G1,06G2,06G3,06G4,06G5,06G6,06P2,06P4a,06P5a,06C1a,06C1b,06C1c,06C1d,07G1,07G2,07G3,07G4,07G5,07G6,07P2,07P4a,07P5a,07C1a,07C1b,07C1c,07C1d,08G1,08G2,08G3,08G4,08G5,08G6,08P2,08P4a,08P5a,08C1a,08C1b,08C1c,08C1d,09G1,09G2,09G3,09G4,09G5,09G6,09P2,09P4a,09P5a,09C1a,09C1b,09C1c,09C1d,10G1,10G2,10G3,10G4,10G5,10G6,10P2,10P4a,10P5a,10C1a,10C1b,10C1c,10C1d,11G1,11G2,11G3,11G4,11G5,11G6,11P2,11P4a,11P5a,11C1a,11C1b,11C1c,11C1d,12G1,12G2,12G3,12G4,12G5,12G6,12P2,12P4a,12P5a,12C1a,12C1b,12C1c,12C1d,13G1,13G2,13G3,13G4,13G5,13G6,13P2,13P4a,13P5a,13C1a,13C1b,13C1c,13C1d,14G1,14G2,14G3,14G4,14G5,14G6,14P2,14P4a,14P5a,14C1a,14C1b,14C1c,14C1d
Angola,42328.0,-1.0,0.0,6.0,-87.0,1.2,1.5,4.0,5.0,-5.16,0.77,-14.19,18.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27029284.0,-21.0,98.0,6.0,94.0,0.2,938.1,1.0,3.0,-7.63,6.5,-1.36,-2.27
Benin,245029.0,1.0,59.0,40.0,-62.0,0.9,22.5,2.0,8.0,10.81,2.34,-6.66,-3.57,43050.0,-4.0,10.0,8.0,-68.0,1.0,4.0,6.0,4.0,-1.83,-2.85,-6.89,8.31,5784.0,-22.0,1.0,0.0,-62.0,0.7,0.5,2.0,3.0,-8.2,3.89,1.97,-10.32,11061.0,-5.0,2.0,1.0,-54.0,0.8,1.0,1.0,1.0,-4.29,0.39,-1.43,1.21,5922.0,4.0,1.0,6.0,-93.0,0.4,0.5,9.0,4.0,12.02,4.3,-4.77,-5.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34934.0,-15.0,8.0,6.0,-64.0,1.1,3.2,8.0,3.0,15.62,-8.93,-6.34,-8.24,11361.0,15.0,2.0,3.0,-80.0,0.8,1.0,14.0,6.0,35.87,-1.12,-5.25,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5456.0,17.0,1.0,7.0,-94.0,1.4,0.5,9.0,9.0,37.58,-2.73,-1.01,-16.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5651.0,20.0,1.0,2.0,-80.0,0.4,0.5,8.0,4.0,62.44,3.84,-3.97,-39.4,22227.0,-15.0,5.0,18.0,-91.0,1.0,2.0,3.0,5.0,28.97,2.6,23.15,-54.56
Botswana,114647.0,6.0,1.0,3.0,-33.0,1.4,50.9,2.0,4.0,20.13,0.23,-2.38,-10.49,14415.0,-23.0,0.0,7.0,-93.0,0.8,6.4,15.0,3.0,-6.03,-4.68,4.35,-6.69,11855.0,-6.0,0.0,2.0,-82.0,1.2,5.3,5.0,3.0,-2.88,-1.57,1.27,-1.15,16300.0,-9.0,0.0,0.0,-54.0,1.0,7.2,2.0,1.0,-1.33,-4.15,1.33,-2.06,85265.0,0.0,1.0,8.0,-72.0,1.9,37.9,4.0,2.0,1.73,-1.71,2.29,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30868.0,4.0,0.0,6.0,-84.0,0.6,13.7,13.0,2.0,19.69,-1.79,10.43,-19.9,50291.0,-3.0,0.0,7.0,-80.0,0.4,22.3,23.0,2.0,10.31,-3.18,0.36,-8.69,7334.0,-7.0,0.0,2.0,-91.0,3.0,3.3,13.0,4.0,12.28,-2.12,-1.2,-13.37,129670.0,19.0,1.0,3.0,-25.0,0.5,57.6,1.0,1.0,3.14,-3.58,17.36,1.73,46778.0,-22.0,0.0,7.0,-80.0,0.7,20.8,12.0,4.0,-0.76,-6.88,-2.49,-2.67,9471.0,-36.0,0.0,1.0,-83.0,1.2,4.2,3.0,2.0,-16.29,-3.54,-0.47,3.33,19928.0,-7.0,0.0,4.0,-86.0,1.5,8.9,27.0,3.0,4.14,-3.79,0.75,-6.29,6733721.0,6.0,91.0,42.0,44.0,0.6,2992.4,1.0,9.0,17.79,-0.17,-5.78,19.29
Burkina Faso,720421.0,11.0,28.0,5.0,57.0,0.8,38.6,3.0,6.0,19.2,-0.04,-0.22,-6.19,29635.0,14.0,1.0,8.0,-81.0,0.8,1.6,4.0,5.0,2.3,-0.28,4.3,8.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5002.0,-5.0,0.0,2.0,-87.0,0.7,0.3,4.0,2.0,-6.11,-1.87,3.24,0.99,24999.0,28.0,0.0,17.0,-91.0,0.3,1.3,2.0,2.0,29.37,1.59,0.4,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107779.0,122.0,4.0,12.0,-59.0,2.6,5.8,1.0,1.0,134.5,1.74,5.32,424.94,28139.0,32.0,1.0,12.0,-87.0,0.8,1.5,14.0,4.0,82.23,0.53,1.99,-36.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28104.0,51.0,1.0,7.0,-80.0,0.9,1.5,7.0,3.0,98.66,1.26,5.46,-21.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11393.0,19.0,0.0,3.0,-83.0,1.2,0.6,4.0,8.0,27.9,1.96,1.45,-9.83,11379.0,47.0,0.0,20.0,-96.0,0.6,0.6,1.0,10.0,461.0,12.69,45.65,-348.72
Burundi,61396.0,-8.0,49.0,7.0,11.0,0.5,5.8,2.0,5.0,4.46,-10.26,-8.93,9.83,18583.0,32.0,14.0,10.0,-55.0,0.4,1.8,4.0,2.0,153.98,-3.32,2.34,-109.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5389.0,-4.0,4.0,18.0,-91.0,1.8,0.5,2.0,3.0,2.41,-1.11,-12.93,10.03,1096.0,-12.0,0.0,1.0,-79.0,0.0,0.1,2.0,4.0,83.3,-8.67,-7.98,-76.06,5431.0,4.0,4.0,11.0,-85.0,3.0,0.5,2.0,1.0,14.01,-7.23,-4.61,6.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6701.0,-22.0,5.0,18.0,-89.0,0.9,0.6,4.0,5.0,-8.98,3.01,-21.18,21.25
Cape Verde,23328.0,-17.0,37.0,10.0,-43.0,1.5,43.2,3.0,1.0,-13.99,0.34,5.52,-2.18,28899.0,-2.0,46.0,22.0,-61.0,1.1,53.6,3.0,2.0,0.8,0.18,-3.06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3647.0,-4.0,5.0,0.0,27.0,3.0,6.8,1.0,1.0,-7.04,0.69,2.51,-1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6404.0,23.0,10.0,1.0,-2.0,1.0,11.9,3.0,1.0,22.3,-0.61,0.42,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central African Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28661.0,2.0,32.0,1.0,70.0,0.5,6.2,2.0,5.0,-2.16,0.62,2.74,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cameroon,1096142.0,4.0,51.0,14.0,20.0,0.9,46.8,2.0,5.0,9.63,0.83,-0.8,-4.35,68173.0,-4.0,3.0,8.0,-72.0,0.6,2.9,15.0,8.0,-0.5,-2.64,-0.46,0.82,482779.0,2.0,22.0,2.0,63.0,0.9,20.6,4.0,8.0,-3.19,1.41,-3.07,6.95,4698.0,-8.0,0.0,1.0,-86.0,1.5,0.2,5.0,4.0,-7.36,-0.84,-5.71,7.79,65301.0,-15.0,3.0,13.0,-81.0,0.7,2.8,3.0,4.0,-7.61,-1.73,-6.25,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173383.0,1.0,8.0,12.0,-56.0,2.6,7.4,2.0,4.0,11.56,-3.39,7.24,-10.19,17745.0,-23.0,0.0,9.0,-92.0,1.9,0.8,8.0,14.0,-5.86,-5.88,-3.73,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2037.0,-17.0,0.0,4.0,-98.0,0.7,0.1,14.0,8.0,-3.81,-2.48,-1.65,-3.24,5989.0,-18.0,0.0,7.0,-96.0,0.4,0.3,9.0,7.0,7.28,-1.38,-3.34,-13.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19183.0,-4.0,0.0,4.0,-84.0,1.6,0.8,8.0,9.0,6.82,-3.37,2.06,-9.07,194938.0,-46.0,9.0,12.0,-51.0,1.9,8.3,4.0,7.0,-16.78,1.87,-0.43,-1.41
Chad,79734.0,-3.0,5.0,3.0,55.0,1.1,5.5,3.0,6.0,5.26,1.05,-7.67,-0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1409224.0,-18.0,93.0,3.0,97.0,0.9,97.5,1.0,2.0,-1.69,1.61,-2.19,-0.03
Comoros,49967.0,48.0,71.0,11.0,5.0,1.5,62.8,2.0,4.0,50.25,1.07,31.66,-0.5,9680.0,66.0,13.0,13.0,-69.0,6.3,12.2,1.0,1.0,77.08,0.04,10.36,49.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Democratic Republic of the Congo,53741.0,0.0,1.0,7.0,-70.0,1.4,0.7,4.0,11.0,0.79,0.74,-1.77,1.08,20559.0,4.0,0.0,12.0,-92.0,0.9,0.3,5.0,6.0,-4.82,0.59,3.67,5.17,89835.0,-11.0,1.0,1.0,23.0,1.6,1.2,5.0,7.0,-10.72,1.61,14.35,-12.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13329.0,-44.0,0.0,17.0,-96.0,1.0,0.2,4.0,4.0,-19.29,-2.62,-14.46,18.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3366303.0,-4.0,73.0,11.0,76.0,0.8,43.6,2.0,3.0,0.26,-0.85,2.16,-1.57,6731.0,-18.0,0.0,13.0,-97.0,2.6,0.1,11.0,2.0,12.98,-3.44,-4.01,-15.65,1486.0,-2.0,0.0,4.0,-98.0,1.1,0.0,2.0,3.0,-4.74,-2.16,1.13,4.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13471.0,-14.0,0.0,7.0,-91.0,1.0,0.2,3.0,3.0,-0.09,-3.57,-8.81,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12446.0,15.0,0.0,6.0,-91.0,1.0,0.2,4.0,2.0,11.45,0.28,1.52,3.04,890176.0,-23.0,19.0,5.0,60.0,1.7,11.5,4.0,4.0,-9.97,0.97,-1.73,4.1
Congo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10378.0,-9.0,0.0,7.0,-94.0,1.2,2.0,2.0,2.0,-10.92,-3.29,2.2,5.97,327234.0,51.0,6.0,1.0,66.0,1.6,63.8,4.0,3.0,77.16,3.34,-1.58,8.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8981.0,-2.0,0.0,6.0,-94.0,1.7,1.8,2.0,2.0,-14.9,-2.94,-1.75,19.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,966778.0,109.0,20.0,13.0,21.0,1.0,188.6,1.0,4.0,490.17,-1.72,1.78,-48.87,20566.0,-27.0,0.0,12.0,-93.0,1.7,4.0,13.0,10.0,-12.59,-3.37,-3.44,5.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1047.0,-37.0,0.0,5.0,-99.0,1.0,0.2,8.0,8.0,-15.42,-2.45,0.13,0.63,7375.0,-72.0,0.0,29.0,-98.0,2.4,1.4,7.0,6.0,-19.77,-9.07,-7.48,16.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10891.0,-27.0,0.0,5.0,-92.0,1.4,2.1,4.0,5.0,-14.14,-1.18,-5.45,6.24,3309366.0,-13.0,69.0,1.0,97.0,0.9,645.6,1.0,2.0,-1.98,2.11,-1.71,4.1
C̫te d'Ivoire,7681311.0,10.0,74.0,15.0,72.0,0.7,324.2,3.0,12.0,13.33,1.49,0.84,-3.8,567056.0,-5.0,5.0,11.0,-23.0,0.8,23.9,7.0,6.0,-0.7,-1.4,-1.71,0.27,195233.0,-6.0,1.0,1.0,15.0,1.5,8.2,8.0,13.0,-3.94,1.27,0.3,-1.73,16930.0,-31.0,0.0,2.0,-85.0,0.9,0.7,3.0,4.0,-12.83,1.67,-7.44,3.18,87788.0,-29.0,0.0,14.0,-85.0,0.5,3.7,8.0,5.0,-12.56,0.12,-5.72,3.53,10335.0,-36.0,0.0,0.0,-75.0,1.4,0.4,4.0,6.0,-16.05,0.15,-5.18,3.97,23015.0,-31.0,0.0,10.0,-94.0,0.7,1.0,5.0,7.0,-10.3,-1.23,-3.54,0.24,24718.0,-28.0,0.0,9.0,-93.0,1.7,1.0,6.0,8.0,-14.07,-1.81,-6.07,7.57,2960.0,-23.0,0.0,3.0,-97.0,0.2,0.1,9.0,8.0,-11.82,-1.18,6.86,-6.8,6408.0,4.0,0.0,3.0,-95.0,1.0,0.3,4.0,4.0,-4.5,-1.94,1.12,8.32,2673.0,-59.0,0.0,6.0,-98.0,0.3,0.1,12.0,7.0,-19.44,-0.72,-3.04,3.72,2534.0,-5.0,0.0,1.0,-95.0,0.5,0.1,22.0,3.0,-2.36,7.42,30.05,-40.18,46749.0,-25.0,0.0,5.0,-81.0,0.4,2.0,6.0,4.0,-12.26,5.41,5.09,-11.89,1173424.0,-22.0,11.0,13.0,5.0,1.1,49.5,3.0,9.0,-5.49,3.24,-2.67,-0.36
Djibouti,39219.0,-8.0,38.0,6.0,-74.0,1.4,41.6,6.0,5.0,-9.04,-0.02,-1.18,5.15,1520.0,-9.0,1.0,15.0,-99.0,7.1,1.6,3.0,3.0,-12.68,-0.65,-5.82,12.95,13357.0,39.0,13.0,2.0,-77.0,0.8,14.2,1.0,1.0,-3.54,1.63,13.92,44.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8535.0,54.0,8.0,11.0,-96.0,0.0,9.1,2.0,2.0,107.41,0.82,0.49,-5.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Equatorial Guinea,3175.0,4.0,0.0,6.0,-90.0,0.9,2.6,3.0,2.0,-6.95,-1.29,-0.81,13.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279119.0,16.0,6.0,1.0,86.0,1.4,228.5,2.0,1.0,7.57,3.78,3.41,2.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262735.0,-7.0,5.0,6.0,56.0,1.0,215.1,1.0,2.0,11.55,0.79,-9.0,-7.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5734.0,-19.0,0.0,12.0,-91.0,0.2,4.7,5.0,2.0,-10.24,-0.77,-4.21,4.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2349.0,-68.0,0.0,21.0,-97.0,0.5,1.9,6.0,5.0,-19.76,11.71,-26.86,15.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4029813.0,-27.0,87.0,0.0,99.0,1.1,3299.1,2.0,9.0,-10.92,2.45,-1.93,1.21
