Uganda,800
French Polynesia,258
Tonga,776
Bahrain,048
Serbia,688
Turkey,792
C̫te d'Ivoire,384
Palau,585
Canada,124
Montserrat,500
World,000
Macau,446
Turks and Caicos Islands,796
Australia,036
Cyprus,196
Egypt,818
Netherlands Antilles,530
Jamaica,388
Christmas Island,162
Marshall Islands,584
Malaysia,458
China,156
Rwanda,646
Other Europe n.e.s,568
Latvia,428
Malta,470
"Hong Kong, China",344
Mauritius,480
Portugal,620
North Africa n.e.s.,290
Cameroon,120
Bermuda,060
Qatar,634
Western Sahara,732
Andorra,020
British Antarctic Territory,080
Spain,724
Sweden,752
Iran (Islamic Republic of),364
Ghana,288
Philippines,608
Cocos (Keeling) Islands,166
Lebanon,422
Anguilla,660
Saudi Arabia,682
Nepal,524
Barbados,052
Kenya,404
Afghanistan,004
Uzbekistan,860
Denmark,208
Kazakhstan,398
Tunisia,788
Ship Stores and Bunkers,837
Honduras,340
Yemen,887
French Southern and Antarctic Territories,260
Malawi,454
Nauru,520
United Arab Emirates,784
Armenia,051
Thailand,764
Albania,008
Grenada,308
Trinidad and Tobago,780
Tajikistan,762
Somalia,706
East Timor,626
Belize,084
United States of America,842
Swaziland,748
Norfolk Island,574
Dominica,212
East Europe n.e.s.,221
Ireland,372
Sri Lanka,144
Poland,616
Croatia,191
Other Africa n.e.s.,577
Suriname,740
Belgium,056
Comoros,174
Democratic People's Republic of Korea,408
"Palestine, State of",275
Libya,434
Aruba,533
Lesotho,426
Israel,376
Cuba,192
Falkland Islands (Malvinas),238
United Kingdom,826
Guinea-Bissau,624
Jordan,400
Hungary,348
Central African Republic,140
Indonesia,360
Haiti,332
Papua New Guinea,598
Belarus,112
Brazil,076
India,699
Bosnia & Herzegovina,070
Pitcairn,612
Estonia,233
Austria,040
Virgin Islands (British),092
Saint Helena,654
EEU n.es.,492
Morocco,504
Zimbabwe,716
Dominican Republic,214
Chad,148
Vanuatu,548
Mali,466
Gabon,266
Latin American Integration Association (LAIA) n.e.,473
Iraq,368
Developing Market Economies in East Asia (Middle E,879
Serbia and Montenegro,891
"Taipei, Chinese",490
Peru,604
Mozambique,508
Gibraltar,292
Caribbean n.e.s.,129
Ecuador,218
Ethiopia,231
New Caledonia,540
Uruguay,858
Areas n.e.s.,899
United Republic of Tanzania,834
Oceania n.e.s.,527
Colombia,170
Chile,152
Oman,512
Singapore,702
St. Pierre and Miquelon,666
Mauritania,478
"Macedonia, The Former Yugoslav Republic of",807
Gambia,270
Nigeria,566
Cook Islands,184
Brunei Darussalam,096
Saint Lucia,662
Bangladesh,050
Montenegro,499
US Miscellaneous (Pacific),849
Guinea,324
Free Zones,838
Angola,024
France,251
Niger,562
Russian Federation,643
Madagascar,450
Cape Verde,132
Guatemala,320
Liberia,430
Norway,579
Netherlands,528
Bahamas,044
Special Categories,839
Georgia,268
Lao People's Democratic Republic,418
Bhutan,064
Kuwait,414
Burkina Faso,854
Republic of Korea,410
Mexico,484
Faeroe Islands,234
Eritrea,232
South Africa,710
Mongolia,496
Maldives,462
Kiribati,296
Slovenia,705
Nicaragua,558
Algeria,012
Saint Kitts and Nevis,659
Syrian Arab Republic,760
Viet Nam,704
Neutral Zone,536
British Indian Ocean Territory,086
Romania,642
Luxembourg,442
Seychelles,690
Cayman Islands,136
New Zealand,554
Namibia,516
Tokelau,772
Benin,204
Wallis and Futuna Islands,876
Sao Tome and Principe,678
Senegal,686
Republic of Moldova,498
Bolivia,068
Argentina,032
Switzerland,757
Venezuela,862
Burundi,108
Slovakia,703
Sierra Leone,694
Cambodia,116
Greenland,304
Panama,591
Ukraine,804
Paraguay,600
Azerbaijan,031
Monaco,492
Micronesia (Federated States of),583
Costa Rica,188
Lithuania,440
El Salvador,222
Solomon Is,090
Japan,392
Central American Common Market (CACM) n.e.s.,471
Niue,570
Italy,381
Rest of South America n.e.s,636
Guyana,328
Togo,768
Mayotte,175
Samoa,882
Pakistan,586
Iceland,352
Zambia,894
Botswana,072
Djibouti,262
Kyrgyzstan,417
Saint Vincent and the Grenadines,670
Democratic Republic of the Congo,180
Equatorial Guinea,226
Germany,276
Northern Mariana Islands,580
Fiji,242
Finland,246
Myanmar,104
Tuvalu,798
Greece,300
Congo,178
Turkmenistan,795
Czech Republic,203
Bulgaria,100
Antigua & Barbuda,028
Sudan,736
