Mauritania,MAU
Eritrea,ERI
Algeria,ALG
Niger,NIG
Egypt,EGY
Guinea-Bissau,GUB
Libya,LAJ
Djibouti,DJI
Zambia,ZAM
Ghana,GHA
Malawi,MAA
Gambia,GAM
Senegal,SEN
Rwanda,RWA
Cameroon,CAM
Congo,CNG
Gabon,GAB
Botswana,BOT
Lesotho,LES
Benin,BEN
Mali,MAL
"C̫te d'Ivoire",CDI
Western Sahara,WES
"United Republic of Tanzania",TAN
Uganda,UGA
Zimbabwe,ZIM
Chad,CHA
Kenya,KEN
Tunisia,TUN
Swaziland,SWA
"Democratic Republic of the Congo",ZAI
Nigeria,NIR
Morocco,MOR
Sudan,SUD
Guinea,GIN
Namibia,NAM
Somalia,SOM
Comoros,COM
Burkina Faso,BUF
Ethiopia,ETH
Cape Verde,CAP
Central African Republic,CAR
Togo,TOG
"South Africa",SOU
Liberia,LIB
Mozambique,MOZ
"Sao Tome and Principe",STP
Madagascar,MAD
"Sierra Leone",SIL
"Equatorial Guinea",EQG
Burundi,BUR
Angola,ANG
